LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1766633906.608679,44478.000,5159,3,AY,1,100,0.843
1766633906.608679,44478.000,5159,3,AY,1,100,0.850
1766633906.608679,44478.000,5159,3,AY,1,100,0.841
1766633906.648675,44518.000,5176,2,AY,1,100,0.850
1766633906.688672,44558.000,5176,2,AY,1,100,0.857
1766633906.728669,44598.000,5192,3,AY,1,100,0.845
1766633906.768666,44638.000,5192,3,AY,1,100,0.849
1766633906.808663,44678.000,5192,3,AY,1,100,0.850
1766633906.848659,44718.000,5208,2,AY,1,100,0.826
1766633906.888656,44758.000,5208,2,AY,1,100,0.832
1766633906.924320,44793.667,5224,3,AY,1,100,0.853
1766633906.959984,44829.333,5224,3,AY,1,100,0.841
1766633906.995647,44865.000,5224,3,AY,1,100,0.842
1766633907.035644,44905.000,5241,3,AY,1,100,0.839
1766633907.075641,44945.000,5241,3,AY,1,100,0.845
1766633907.115638,44985.000,5241,3,AY,1,100,0.838
1766633907.155635,45025.000,5258,3,AY,1,100,0.846
1766633907.195631,45065.000,5258,3,AY,1,100,0.841
1766633907.235628,45105.000,5258,3,AY,1,100,0.844
1766633907.275625,45145.000,5273,2,AY,1,100,0.840
1766633907.315622,45185.000,5273,2,AY,1,100,0.841
1766633907.355618,45225.000,5289,3,AY,1,100,0.832
1766633907.395615,45265.000,5289,3,AY,1,100,0.839
1766633907.435612,45305.000,5289,3,AY,1,100,0.836
1766633907.475609,45345.000,5306,2,AY,1,100,0.863
1766633907.515605,45385.000,5306,2,AY,1,100,0.826
1766633907.555602,45425.000,5323,3,AY,1,100,0.843
1766633907.595599,45465.000,5323,3,AY,1,100,0.848
1766633907.635596,45505.000,5323,3,AY,1,100,0.839
1766633907.675592,45545.000,5338,2,AY,1,100,0.833
1766633907.715589,45585.000,5338,2,AY,1,100,0.847
1766633907.751253,45620.667,5354,3,AY,1,100,0.842
1766633907.786917,45656.333,5354,3,AY,1,100,0.853
1766633907.822581,45692.000,5354,3,AY,1,100,0.838
1766633907.862577,45732.000,5372,3,AY,1,100,0.853
1766633907.902574,45772.000,5372,3,AY,1,100,0.852
1766633907.942571,45812.000,5372,3,AY,1,100,0.852
1766633907.982568,45852.000,5388,2,AY,1,100,0.846
1766633908.022564,45892.000,5388,2,AY,1,100,0.849
1766633908.062895,45932.333,5404,3,AY,1,100,0.844
1766633908.103225,45972.667,5404,3,AY,1,100,0.846
1766633908.143555,46013.000,5404,3,AY,1,100,0.845
1766633908.183052,46052.500,5420,2,AY,1,100,0.833
1766633908.222548,46092.000,5420,2,AY,1,100,0.856
1766633908.262545,46132.000,5437,3,AY,1,100,0.864
1766633908.302542,46172.000,5437,3,AY,1,100,0.848
1766633908.342539,46212.000,5437,3,AY,1,100,0.859
1766633908.382535,46252.000,5453,2,AY,1,100,0.849
1766633908.422532,46292.000,5453,2,AY,1,100,0.849
1766633908.462529,46332.000,5471,3,AY,1,100,0.847
1766633908.502526,46372.000,5471,3,AY,1,100,0.858
