LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1766633906.608679,44478.000,5160,3,AZ,1,100,0.478
1766633906.608679,44478.000,5160,3,AZ,1,100,0.472
1766633906.608679,44478.000,5160,3,AZ,1,100,0.481
1766633906.648675,44518.000,5177,2,AZ,1,100,0.470
1766633906.688672,44558.000,5177,2,AZ,1,100,0.480
1766633906.728669,44598.000,5193,3,AZ,1,100,0.465
1766633906.768666,44638.000,5193,3,AZ,1,100,0.481
1766633906.808663,44678.000,5193,3,AZ,1,100,0.477
1766633906.848659,44718.000,5209,2,AZ,1,100,0.491
1766633906.888656,44758.000,5209,2,AZ,1,100,0.480
1766633906.924320,44793.667,5225,3,AZ,1,100,0.480
1766633906.959984,44829.333,5225,3,AZ,1,100,0.490
1766633906.995647,44865.000,5225,3,AZ,1,100,0.490
1766633907.035644,44905.000,5242,3,AZ,1,100,0.490
1766633907.075641,44945.000,5242,3,AZ,1,100,0.479
1766633907.115638,44985.000,5242,3,AZ,1,100,0.488
1766633907.155635,45025.000,5259,3,AZ,1,100,0.481
1766633907.195631,45065.000,5259,3,AZ,1,100,0.489
1766633907.235628,45105.000,5259,3,AZ,1,100,0.494
1766633907.275625,45145.000,5274,2,AZ,1,100,0.496
1766633907.315622,45185.000,5274,2,AZ,1,100,0.492
1766633907.355618,45225.000,5290,3,AZ,1,100,0.489
1766633907.395615,45265.000,5290,3,AZ,1,100,0.490
1766633907.435612,45305.000,5290,3,AZ,1,100,0.494
1766633907.475609,45345.000,5307,2,AZ,1,100,0.483
1766633907.515605,45385.000,5307,2,AZ,1,100,0.482
1766633907.555602,45425.000,5324,3,AZ,1,100,0.497
1766633907.595599,45465.000,5324,3,AZ,1,100,0.482
1766633907.635596,45505.000,5324,3,AZ,1,100,0.483
1766633907.675592,45545.000,5339,2,AZ,1,100,0.473
1766633907.715589,45585.000,5339,2,AZ,1,100,0.477
1766633907.751253,45620.667,5355,3,AZ,1,100,0.468
1766633907.786917,45656.333,5355,3,AZ,1,100,0.482
