LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1766633906.621678,44491.000,5155,2,EL,1,100,-15558.599609
1766633906.621678,44491.000,5155,2,EL,1,100,-15557.599609
1766633906.688672,44558.000,5172,1,EL,1,100,-15554.400391
1766633906.755167,44624.500,5188,2,EL,1,100,-15549.799805
1766633906.821661,44691.000,5188,2,EL,1,100,-15540.200195
1766633906.888656,44758.000,5206,1,EL,1,100,-15515.200195
1766633906.955151,44824.500,5220,2,EL,1,100,-15499.400391
1766633907.021645,44891.000,5220,2,EL,1,100,-15491.599609
1766633907.088640,44958.000,5237,1,EL,1,100,-15483.200195
1766633907.155135,45024.500,5254,2,EL,1,100,-15477.799805
1766633907.221629,45091.000,5254,2,EL,1,100,-15473.799805
1766633907.288624,45158.000,5271,1,EL,1,100,-15471.400391
1766633907.355119,45224.500,5285,2,EL,1,100,-15468.599609
1766633907.421613,45291.000,5285,2,EL,1,100,-15464.799805
1766633907.488608,45358.000,5302,1,EL,1,100,-15458.400391
1766633907.555102,45424.500,5319,2,EL,1,100,-15453.799805
1766633907.621597,45491.000,5319,2,EL,1,100,-15447.799805
1766633907.688591,45558.000,5336,1,EL,1,100,-15437.599609
1766633907.755086,45624.500,5350,2,EL,1,100,-15430.599609
1766633907.821581,45691.000,5350,2,EL,1,100,-15424.200195
1766633907.888575,45758.000,5368,1,EL,1,100,-15416.000000
1766633907.955070,45824.500,5384,2,EL,1,100,-15409.799805
1766633908.021564,45891.000,5384,2,EL,1,100,-15405.799805
1766633908.088559,45958.000,5401,1,EL,1,100,-15400.799805
1766633908.155054,46024.500,5417,2,EL,1,100,-15394.599609
1766633908.221548,46091.000,5417,2,EL,1,100,-15380.799805
1766633908.288043,46157.500,5433,2,EL,1,100,-15360.799805
1766633908.354538,46224.000,5433,2,EL,1,100,-15345.599609
1766633908.421532,46291.000,5449,1,EL,1,100,-15340.000000
1766633908.488027,46357.500,5467,2,EL,1,100,-15333.400391
1766633908.554521,46424.000,5467,2,EL,1,100,-15326.400391
1766633908.621516,46491.000,5483,1,EL,1,100,-15320.200195
1766633908.688011,46557.500,5498,2,EL,1,100,-15316.000000
1766633908.754505,46624.000,5498,2,EL,1,100,-15312.599609
1766633908.821500,46691.000,5514,1,EL,1,100,-15309.200195
1766633908.887995,46757.500,5534,2,EL,1,100,-15304.200195
1766633908.954489,46824.000,5534,2,EL,1,100,-15300.400391
1766633909.021484,46891.000,5550,1,EL,1,100,-15298.200195
1766633909.087978,46957.500,5565,2,EL,1,100,-15294.400391
1766633909.154473,47024.000,5565,2,EL,1,100,-15291.200195
1766633909.221467,47091.000,5582,1,EL,1,100,-15287.200195
1766633909.287962,47157.500,5599,2,EL,1,100,-15283.799805
1766633909.354457,47224.000,5599,2,EL,1,100,-15279.200195
1766633909.421451,47291.000,5615,1,EL,1,100,-15275.799805
1766633909.487946,47357.500,5631,2,EL,1,100,-15271.799805
1766633909.554440,47424.000,5631,2,EL,1,100,-15267.000000
1766633909.621435,47491.000,5647,1,EL,1,100,-15265.200195
1766633909.687930,47557.500,5664,2,EL,1,100,-15261.000000
1766633909.754424,47624.000,5664,2,EL,1,100,-15256.000000
1766633909.821419,47691.000,5680,1,EL,1,100,-15251.799805
1766633909.887914,47757.500,5696,2,EL,1,100,-15246.799805
1766633909.954408,47824.000,5696,2,EL,1,100,-15241.200195
1766633910.021403,47891.000,5712,1,EL,1,100,-15239.000000
1766633910.087898,47957.500,5729,2,EL,1,100,-15233.400391
1766633910.154392,48024.000,5729,2,EL,1,100,-15226.400391
1766633910.221387,48091.000,5746,1,EL,1,100,-15222.400391
1766633910.287881,48157.500,5762,2,EL,1,100,-15218.400391
1766633910.354376,48224.000,5762,2,EL,1,100,-15210.200195
1766633910.421371,48291.000,5777,1,EL,1,100,-15207.599609
1766633910.487865,48357.500,5795,2,EL,1,100,-15204.400391
1766633910.554360,48424.000,5795,2,EL,1,100,-15201.799805
1766633910.620854,48490.500,5811,2,EL,1,100,-15199.000000
1766633910.687349,48557.000,5811,2,EL,1,100,-15196.799805
1766633910.754344,48624.000,5828,1,EL,1,100,-15193.599609
1766633910.820838,48690.500,5843,2,EL,1,100,-15189.400391
1766633910.887333,48757.000,5843,2,EL,1,100,-15185.400391
1766633910.954327,48824.000,5860,1,EL,1,100,-15177.000000
1766633911.020822,48890.500,5876,2,EL,1,100,-15170.400391
1766633911.087317,48957.000,5876,2,EL,1,100,-15163.200195
1766633911.154311,49024.000,5893,1,EL,1,100,-15157.799805
1766633911.220806,49090.500,5908,2,EL,1,100,-15153.400391
1766633911.287300,49157.000,5908,2,EL,1,100,-15150.599609
1766633911.354295,49224.000,5925,1,EL,1,100,-15149.799805
1766633911.420790,49290.500,5941,2,EL,1,100,-15145.200195
1766633911.487284,49357.000,5941,2,EL,1,100,-15141.599609
1766633911.554279,49424.000,5959,1,EL,1,100,-15135.799805
1766633911.620774,49490.500,5973,2,EL,1,100,-15134.200195
1766633911.687268,49557.000,5973,2,EL,1,100,-15132.000000
1766633911.754263,49624.000,5995,1,EL,1,100,-15128.200195
1766633911.820757,49690.500,6012,2,EL,1,100,-15125.799805
1766633911.887252,49757.000,6012,2,EL,1,100,-15124.000000
1766633911.954247,49824.000,6029,1,EL,1,100,-15121.400391
1766633912.020741,49890.500,6043,2,EL,1,100,-15120.200195
1766633912.087236,49957.000,6043,2,EL,1,100,-15118.400391
1766633912.154230,50024.000,6060,1,EL,1,100,-15114.599609
1766633912.220725,50090.500,6077,2,EL,1,100,-15111.799805
1766633912.287220,50157.000,6077,2,EL,1,100,-15109.799805
1766633912.354214,50224.000,6094,1,EL,1,100,-15105.799805
1766633912.420709,50290.500,6108,2,EL,1,100,-15103.599609
1766633912.487203,50357.000,6108,2,EL,1,100,-15100.799805
1766633912.554198,50424.000,6126,1,EL,1,100,-15094.799805
1766633912.620693,50490.500,6142,2,EL,1,100,-15090.799805
1766633912.687187,50557.000,6142,2,EL,1,100,-15084.599609
1766633912.754182,50624.000,6159,1,EL,1,100,-15077.799805
1766633912.820677,50690.500,6175,2,EL,1,100,-15073.400391
1766633912.887171,50757.000,6175,2,EL,1,100,-15066.599609
1766633912.954166,50824.000,6191,1,EL,1,100,-15060.400391
1766633913.020660,50890.500,6207,2,EL,1,100,-15055.400391
1766633913.087155,50957.000,6207,2,EL,1,100,-15051.599609
1766633913.154150,51024.000,6224,1,EL,1,100,-15046.799805
1766633913.220644,51090.500,6240,2,EL,1,100,-15040.599609
1766633913.287139,51157.000,6240,2,EL,1,100,-15034.200195
1766633913.353633,51223.500,6256,2,EL,1,100,-15027.200195
1766633913.420128,51290.000,6256,2,EL,1,100,-15024.000000
1766633913.487123,51357.000,6272,1,EL,1,100,-15021.400391
1766633913.553617,51423.500,6290,2,EL,1,100,-15017.400391
1766633913.620112,51490.000,6290,2,EL,1,100,-15014.400391
1766633913.687106,51557.000,6306,1,EL,1,100,-15012.599609
1766633913.753601,51623.500,6321,2,EL,1,100,-15010.799805
1766633913.820096,51690.000,6321,2,EL,1,100,-15006.200195
1766633913.887090,51757.000,6338,1,EL,1,100,-15004.200195
1766633913.953585,51823.500,6357,2,EL,1,100,-14999.599609
1766633914.020079,51890.000,6357,2,EL,1,100,-14995.200195
1766633914.087074,51957.000,6373,1,EL,1,100,-14994.000000
1766633914.153569,52023.500,6389,2,EL,1,100,-14989.599609
1766633914.220063,52090.000,6389,2,EL,1,100,-14984.200195
1766633914.287058,52157.000,6405,1,EL,1,100,-14982.599609
1766633914.353553,52223.500,6422,2,EL,1,100,-14980.200195
1766633914.420047,52290.000,6422,2,EL,1,100,-14978.200195
1766633914.487042,52357.000,6438,1,EL,1,100,-14976.799805
1766633914.553536,52423.500,6454,2,EL,1,100,-14974.200195
1766633914.620031,52490.000,6454,2,EL,1,100,-14969.400391
1766633914.687026,52557.000,6470,1,EL,1,100,-14967.599609
1766633914.753520,52623.500,6487,2,EL,1,100,-14964.400391
1766633914.820015,52690.000,6487,2,EL,1,100,-14962.200195
1766633914.887009,52757.000,6504,1,EL,1,100,-14960.799805
1766633914.953504,52823.500,6519,2,EL,1,100,-14958.200195
1766633915.019999,52890.000,6519,2,EL,1,100,-14955.799805
1766633915.086993,52957.000,6535,1,EL,1,100,-14952.799805
1766633915.153488,53023.500,6553,2,EL,1,100,-14949.799805
1766633915.219982,53090.000,6553,2,EL,1,100,-14946.799805
1766633915.286977,53157.000,6569,1,EL,1,100,-14947.400391
1766633915.353472,53223.500,6585,2,EL,1,100,-14946.200195
1766633915.419966,53290.000,6585,2,EL,1,100,-14942.599609
1766633915.486461,53356.500,6601,2,EL,1,100,-14942.400391
1766633915.552955,53423.000,6601,2,EL,1,100,-14940.599609
1766633915.619950,53490.000,6618,1,EL,1,100,-14934.799805
1766633915.686445,53556.500,6634,2,EL,1,100,-14934.200195
1766633915.752939,53623.000,6634,2,EL,1,100,-14932.200195
1766633915.819934,53690.000,6651,1,EL,1,100,-14930.400391
1766633915.886429,53756.500,6666,2,EL,1,100,-14927.000000
1766633915.952923,53823.000,6666,2,EL,1,100,-14923.000000
1766633916.019918,53890.000,6683,1,EL,1,100,-14920.599609
1766633916.086412,53956.500,6699,2,EL,1,100,-14917.400391
1766633916.152907,54023.000,6699,2,EL,1,100,-14912.799805
1766633916.219902,54090.000,6717,1,EL,1,100,-14909.400391
1766633916.286396,54156.500,6731,2,EL,1,100,-14906.000000
1766633916.352891,54223.000,6731,2,EL,1,100,-14901.799805
1766633916.419885,54290.000,6750,1,EL,1,100,-14896.000000
1766633916.486380,54356.500,6767,2,EL,1,100,-14893.000000
1766633916.552875,54423.000,6767,2,EL,1,100,-14891.000000
1766633916.619869,54490.000,6784,1,EL,1,100,-14884.599609
1766633916.686364,54556.500,6798,2,EL,1,100,-14884.200195
1766633916.752858,54623.000,6798,2,EL,1,100,-14884.000000
1766633916.819853,54690.000,6822,1,EL,1,100,-14880.799805
1766633916.886348,54756.500,6839,2,EL,1,100,-14878.599609
1766633916.952842,54823.000,6839,2,EL,1,100,-14878.599609
1766633917.019837,54890.000,6858,2,EL,1,100,-14875.599609
1766633917.086832,54957.000,6858,2,EL,1,100,-14872.599609
1766633917.152826,55023.000,6874,1,EL,1,100,-14870.799805
1766633917.219821,55090.000,6890,2,EL,1,100,-14869.200195
1766633917.286815,55157.000,6890,2,EL,1,100,-14869.000000
1766633917.352810,55223.000,6906,1,EL,1,100,-14867.799805
1766633917.419805,55290.000,6923,2,EL,1,100,-14864.400391
1766633917.486799,55357.000,6923,2,EL,1,100,-14861.599609
1766633917.552794,55423.000,6940,1,EL,1,100,-14860.200195
1766633917.619788,55490.000,6955,2,EL,1,100,-14858.000000
1766633917.686783,55557.000,6955,2,EL,1,100,-14855.400391
1766633917.752778,55623.000,6971,1,EL,1,100,-14855.799805
1766633917.819272,55689.500,6989,2,EL,1,100,-14854.599609
1766633917.885767,55756.000,6989,2,EL,1,100,-14852.400391
1766633917.952761,55823.000,7005,1,EL,1,100,-14853.200195
1766633918.019256,55889.500,7020,2,EL,1,100,-14850.000000
1766633918.085751,55956.000,7020,2,EL,1,100,-14845.599609
1766633918.152745,56023.000,7036,1,EL,1,100,-14844.599609
1766633918.219240,56089.500,7054,2,EL,1,100,-14842.200195
1766633918.285734,56156.000,7054,2,EL,1,100,-14840.200195
1766633918.352729,56223.000,7070,1,EL,1,100,-14837.000000
1766633918.419224,56289.500,7085,2,EL,1,100,-14834.599609
1766633918.485718,56356.000,7085,2,EL,1,100,-14833.400391
1766633918.552713,56423.000,7102,1,EL,1,100,-14830.000000
1766633918.619208,56489.500,7119,2,EL,1,100,-14826.400391
1766633918.685702,56556.000,7119,2,EL,1,100,-14821.599609
1766633918.752697,56623.000,7135,1,EL,1,100,-14820.400391
1766633918.819191,56689.500,7152,2,EL,1,100,-14820.200195
1766633918.885686,56756.000,7152,2,EL,1,100,-14815.400391
1766633918.952681,56823.000,7169,1,EL,1,100,-14812.000000
1766633919.019175,56889.500,7186,2,EL,1,100,-14808.799805
1766633919.085670,56956.000,7186,2,EL,1,100,-14805.799805
1766633919.152664,57023.000,7203,2,EL,1,100,-14804.000000
1766633919.219659,57090.000,7203,2,EL,1,100,-14800.599609
1766633919.285654,57156.000,7220,1,EL,1,100,-14798.000000
1766633919.352648,57223.000,7234,2,EL,1,100,-14794.799805
1766633919.419643,57290.000,7234,2,EL,1,100,-14792.400391
1766633919.485637,57356.000,7251,1,EL,1,100,-14787.799805
1766633919.552632,57423.000,7268,2,EL,1,100,-14785.400391
1766633919.619627,57490.000,7268,2,EL,1,100,-14783.000000
1766633919.685621,57556.000,7285,1,EL,1,100,-14781.400391
1766633919.752616,57623.000,7299,2,EL,1,100,-14780.400391
1766633919.819610,57690.000,7299,2,EL,1,100,-14776.400391
1766633919.885605,57756.000,7317,1,EL,1,100,-14771.799805
1766633919.952600,57823.000,7333,2,EL,1,100,-14770.599609
1766633920.019594,57890.000,7333,2,EL,1,100,-14768.200195
1766633920.085589,57956.000,7350,1,EL,1,100,-14767.000000
1766633920.152584,58023.000,7365,2,EL,1,100,-14764.400391
1766633920.219578,58090.000,7365,2,EL,1,100,-14759.599609
1766633920.285573,58156.000,7382,1,EL,1,100,-14757.599609
1766633920.352567,58223.000,7398,2,EL,1,100,-14755.799805
1766633920.419562,58290.000,7398,2,EL,1,100,-14752.000000
1766633920.485557,58356.000,7415,1,EL,1,100,-14746.000000
1766633920.552551,58423.000,7431,2,EL,1,100,-14743.000000
1766633920.619546,58490.000,7431,2,EL,1,100,-14742.000000
1766633920.685540,58556.000,7447,1,EL,1,100,-14739.799805
1766633920.752535,58623.000,7463,2,EL,1,100,-14738.799805
1766633920.819530,58690.000,7463,2,EL,1,100,-14736.799805
1766633920.885524,58756.000,7481,1,EL,1,100,-14734.599609
1766633920.952519,58823.000,7496,2,EL,1,100,-14732.400391
1766633921.019513,58890.000,7496,2,EL,1,100,-14730.799805
1766633921.086008,58956.500,7512,2,EL,1,100,-14728.200195
1766633921.152503,59023.000,7512,2,EL,1,100,-14725.400391
1766633921.218497,59089.000,7529,1,EL,1,100,-14726.400391
1766633921.285492,59156.000,7546,2,EL,1,100,-14722.799805
1766633921.352487,59223.000,7546,2,EL,1,100,-14720.599609
1766633921.419481,59290.000,7562,1,EL,1,100,-14718.799805
1766633921.485976,59356.500,7578,2,EL,1,100,-14717.200195
1766633921.552470,59423.000,7578,2,EL,1,100,-14714.799805
1766633921.618465,59489.000,7594,1,EL,1,100,-14712.799805
1766633921.685460,59556.000,7611,2,EL,1,100,-14710.000000
1766633921.752454,59623.000,7611,2,EL,1,100,-14706.599609
1766633921.818449,59689.000,7627,1,EL,1,100,-14705.400391
1766633921.885443,59756.000,7648,2,EL,1,100,-14703.400391
