LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1766633906.608679,44478.000,5161,3,GX,1,100,-0.793
1766633906.608679,44478.000,5161,3,GX,1,100,-0.854
1766633906.608679,44478.000,5161,3,GX,1,100,-0.275
1766633906.648675,44518.000,5178,2,GX,1,100,0.397
1766633906.688672,44558.000,5178,2,GX,1,100,-0.153
1766633906.728669,44598.000,5194,3,GX,1,100,-2.136
1766633906.768666,44638.000,5194,3,GX,1,100,-4.395
1766633906.808663,44678.000,5194,3,GX,1,100,-5.341
1766633906.848659,44718.000,5210,2,GX,1,100,-6.195
1766633906.888656,44758.000,5210,2,GX,1,100,-3.906
1766633906.924320,44793.667,5226,3,GX,1,100,-0.275
1766633906.959984,44829.333,5226,3,GX,1,100,0.275
1766633906.995647,44865.000,5226,3,GX,1,100,-0.031
1766633907.035644,44905.000,5243,3,GX,1,100,1.282
1766633907.075641,44945.000,5243,3,GX,1,100,0.488
1766633907.115638,44985.000,5243,3,GX,1,100,-1.038
1766633907.155635,45025.000,5260,3,GX,1,100,-0.122
1766633907.195631,45065.000,5260,3,GX,1,100,0.061
1766633907.235628,45105.000,5260,3,GX,1,100,-0.305
1766633907.275625,45145.000,5275,2,GX,1,100,0.427
1766633907.315622,45185.000,5275,2,GX,1,100,-0.397
1766633907.355618,45225.000,5291,3,GX,1,100,0.183
1766633907.395615,45265.000,5291,3,GX,1,100,0.458
1766633907.435612,45305.000,5291,3,GX,1,100,2.258
1766633907.475609,45345.000,5308,2,GX,1,100,2.106
1766633907.515605,45385.000,5308,2,GX,1,100,2.136
1766633907.555602,45425.000,5325,3,GX,1,100,2.106
1766633907.595599,45465.000,5325,3,GX,1,100,2.258
1766633907.635596,45505.000,5325,3,GX,1,100,1.312
1766633907.675592,45545.000,5340,2,GX,1,100,1.312
1766633907.715589,45585.000,5340,2,GX,1,100,4.089
1766633907.751253,45620.667,5356,3,GX,1,100,4.089
1766633907.786917,45656.333,5356,3,GX,1,100,1.740
1766633907.822581,45692.000,5356,3,GX,1,100,1.678
1766633907.862577,45732.000,5374,3,GX,1,100,1.923
1766633907.902574,45772.000,5374,3,GX,1,100,2.960
1766633907.942571,45812.000,5374,3,GX,1,100,1.862
1766633907.982568,45852.000,5390,2,GX,1,100,1.709
1766633908.022564,45892.000,5390,2,GX,1,100,1.434
1766633908.062895,45932.333,5406,3,GX,1,100,1.038
1766633908.103225,45972.667,5406,3,GX,1,100,1.862
1766633908.143555,46013.000,5406,3,GX,1,100,1.709
1766633908.183052,46052.500,5422,2,GX,1,100,-1.892
1766633908.222548,46092.000,5422,2,GX,1,100,-2.289
1766633908.262545,46132.000,5439,3,GX,1,100,0.702
1766633908.302542,46172.000,5439,3,GX,1,100,3.326
1766633908.342539,46212.000,5439,3,GX,1,100,2.441
1766633908.382535,46252.000,5455,2,GX,1,100,0.488
1766633908.422532,46292.000,5455,2,GX,1,100,0.763
1766633908.462529,46332.000,5473,3,GX,1,100,1.129
1766633908.502526,46372.000,5473,3,GX,1,100,0.244
1766633908.542522,46412.000,5473,3,GX,1,100,1.343
1766633908.582519,46452.000,5487,2,GX,1,100,1.556
1766633908.622516,46492.000,5487,2,GX,1,100,1.129
1766633908.657846,46527.333,5504,3,GX,1,100,0.977
1766633908.693177,46562.667,5504,3,GX,1,100,0.244
1766633908.728507,46598.000,5504,3,GX,1,100,0.488
1766633908.768504,46638.000,5520,3,GX,1,100,0.336
