LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1766633906.608679,44478.000,5163,3,GZ,1,100,-1.190
1766633906.608679,44478.000,5163,3,GZ,1,100,-2.136
1766633906.608679,44478.000,5163,3,GZ,1,100,-2.228
1766633906.648675,44518.000,5180,2,GZ,1,100,-1.038
1766633906.688672,44558.000,5180,2,GZ,1,100,-0.702
1766633906.728669,44598.000,5196,3,GZ,1,100,0.061
1766633906.768666,44638.000,5196,3,GZ,1,100,0.793
1766633906.808663,44678.000,5196,3,GZ,1,100,1.862
1766633906.848659,44718.000,5212,2,GZ,1,100,3.296
1766633906.888656,44758.000,5212,2,GZ,1,100,0.946
1766633906.924320,44793.667,5228,3,GZ,1,100,-2.716
1766633906.959984,44829.333,5228,3,GZ,1,100,-1.709
1766633906.995647,44865.000,5228,3,GZ,1,100,-0.549
1766633907.035644,44905.000,5245,3,GZ,1,100,-1.221
1766633907.075641,44945.000,5245,3,GZ,1,100,-1.099
1766633907.115638,44985.000,5245,3,GZ,1,100,-0.183
1766633907.155635,45025.000,5262,3,GZ,1,100,0.244
1766633907.195631,45065.000,5262,3,GZ,1,100,0.061
1766633907.235628,45105.000,5262,3,GZ,1,100,-0.244
1766633907.275625,45145.000,5277,2,GZ,1,100,-0.366
1766633907.315622,45185.000,5277,2,GZ,1,100,0.061
1766633907.355618,45225.000,5293,3,GZ,1,100,-0.061
1766633907.395615,45265.000,5293,3,GZ,1,100,0.641
1766633907.435612,45305.000,5293,3,GZ,1,100,1.709
1766633907.475609,45345.000,5310,2,GZ,1,100,1.556
1766633907.515605,45385.000,5310,2,GZ,1,100,3.235
1766633907.555602,45425.000,5327,3,GZ,1,100,6.378
1766633907.595599,45465.000,5327,3,GZ,1,100,2.747
1766633907.635596,45505.000,5327,3,GZ,1,100,2.625
1766633907.675592,45545.000,5342,2,GZ,1,100,2.777
1766633907.715589,45585.000,5342,2,GZ,1,100,-0.458
1766633907.751253,45620.667,5358,3,GZ,1,100,-1.221
1766633907.786917,45656.333,5358,3,GZ,1,100,-1.373
1766633907.822581,45692.000,5358,3,GZ,1,100,-1.373
1766633907.862577,45732.000,5376,3,GZ,1,100,-0.488
1766633907.902574,45772.000,5376,3,GZ,1,100,-0.305
1766633907.942571,45812.000,5376,3,GZ,1,100,0.702
1766633907.982568,45852.000,5392,2,GZ,1,100,2.197
1766633908.022564,45892.000,5392,2,GZ,1,100,0.854
1766633908.062895,45932.333,5408,3,GZ,1,100,-0.702
1766633908.103225,45972.667,5408,3,GZ,1,100,-1.312
1766633908.143555,46013.000,5408,3,GZ,1,100,-2.319
1766633908.183052,46052.500,5424,2,GZ,1,100,-3.387
1766633908.222548,46092.000,5424,2,GZ,1,100,-1.465
1766633908.262545,46132.000,5441,3,GZ,1,100,-0.458
1766633908.302542,46172.000,5441,3,GZ,1,100,0.488
1766633908.342539,46212.000,5441,3,GZ,1,100,0.061
1766633908.382535,46252.000,5457,2,GZ,1,100,-0.427
1766633908.422532,46292.000,5457,2,GZ,1,100,-0.488
1766633908.462529,46332.000,5475,3,GZ,1,100,-0.183
1766633908.502526,46372.000,5475,3,GZ,1,100,-0.183
1766633908.542522,46412.000,5475,3,GZ,1,100,-0.671
1766633908.582519,46452.000,5489,2,GZ,1,100,-0.641
1766633908.622516,46492.000,5489,2,GZ,1,100,-0.916
1766633908.657846,46527.333,5506,3,GZ,1,100,-0.366
1766633908.693177,46562.667,5506,3,GZ,1,100,0.031
1766633908.728507,46598.000,5506,3,GZ,1,100,-0.366
1766633908.768504,46638.000,5522,3,GZ,1,100,0.244
1766633908.808501,46678.000,5522,3,GZ,1,100,-0.763
1766633908.848498,46718.000,5522,3,GZ,1,100,-1.068
1766633908.888494,46758.000,5542,2,GZ,1,100,-0.977
1766633908.928491,46798.000,5542,2,GZ,1,100,-0.275
1766633908.968488,46838.000,5556,3,GZ,1,100,0.214
1766633909.008485,46878.000,5556,3,GZ,1,100,-0.244
1766633909.048481,46918.000,5556,3,GZ,1,100,-0.641
1766633909.088478,46958.000,5573,3,GZ,1,100,-0.488
1766633909.128475,46998.000,5573,3,GZ,1,100,-0.824
1766633909.168472,47038.000,5573,3,GZ,1,100,0.000
1766633909.208468,47078.000,5590,2,GZ,1,100,0.488
1766633909.248465,47118.000,5590,2,GZ,1,100,0.000
1766633909.288462,47158.000,5607,3,GZ,1,100,0.336
1766633909.328459,47198.000,5607,3,GZ,1,100,0.153
