LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1766633906.622678,44492.000,5153,3,PG,1,100,9180
1766633906.622678,44492.000,5153,3,PG,1,100,9201
1766633906.622678,44492.000,5153,3,PG,1,100,9205
1766633906.662674,44532.000,5170,2,PG,1,100,9228
1766633906.702671,44572.000,5170,2,PG,1,100,9233
1766633906.742668,44612.000,5186,3,PG,1,100,9262
1766633906.782665,44652.000,5186,3,PG,1,100,9266
1766633906.822661,44692.000,5186,3,PG,1,100,9264
1766633906.862658,44732.000,5204,2,PG,1,100,9259
1766633906.902655,44772.000,5204,2,PG,1,100,9252
1766633906.942652,44812.000,5218,3,PG,1,100,9251
1766633906.982649,44852.000,5218,3,PG,1,100,9262
1766633907.022645,44892.000,5218,3,PG,1,100,9297
1766633907.062642,44932.000,5235,2,PG,1,100,9308
1766633907.102639,44972.000,5235,2,PG,1,100,9336
1766633907.142636,45012.000,5252,3,PG,1,100,9356
1766633907.182632,45052.000,5252,3,PG,1,100,9360
1766633907.222629,45092.000,5252,3,PG,1,100,9386
1766633907.262626,45132.000,5269,2,PG,1,100,9387
1766633907.302623,45172.000,5269,2,PG,1,100,9424
1766633907.342619,45212.000,5283,3,PG,1,100,9443
1766633907.382616,45252.000,5283,3,PG,1,100,9465
1766633907.422613,45292.000,5283,3,PG,1,100,9479
1766633907.462610,45332.000,5300,3,PG,1,100,9514
1766633907.502606,45372.000,5300,3,PG,1,100,9524
1766633907.542603,45412.000,5300,3,PG,1,100,9527
1766633907.582600,45452.000,5317,2,PG,1,100,9564
1766633907.622597,45492.000,5317,2,PG,1,100,9582
1766633907.662594,45532.000,5334,3,PG,1,100,9619
1766633907.702590,45572.000,5334,3,PG,1,100,9661
1766633907.742587,45612.000,5334,3,PG,1,100,9699
1766633907.782584,45652.000,5348,2,PG,1,100,9737
1766633907.822581,45692.000,5348,2,PG,1,100,9784
1766633907.862577,45732.000,5366,3,PG,1,100,9813
1766633907.902574,45772.000,5366,3,PG,1,100,9847
1766633907.942571,45812.000,5366,3,PG,1,100,9895
1766633907.982568,45852.000,5382,2,PG,1,100,9932
1766633908.022564,45892.000,5382,2,PG,1,100,9956
1766633908.062895,45932.333,5399,3,PG,1,100,9989
1766633908.103225,45972.667,5399,3,PG,1,100,10023
1766633908.143555,46013.000,5399,3,PG,1,100,10061
1766633908.183052,46052.500,5415,2,PG,1,100,10096
1766633908.222548,46092.000,5415,2,PG,1,100,10129
1766633908.262545,46132.000,5431,3,PG,1,100,10139
1766633908.302542,46172.000,5431,3,PG,1,100,10143
1766633908.342539,46212.000,5431,3,PG,1,100,10160
1766633908.382535,46252.000,5447,2,PG,1,100,10186
1766633908.422532,46292.000,5447,2,PG,1,100,10230
1766633908.462529,46332.000,5465,3,PG,1,100,10265
1766633908.502526,46372.000,5465,3,PG,1,100,10293
1766633908.542522,46412.000,5465,3,PG,1,100,10325
1766633908.582519,46452.000,5481,2,PG,1,100,10365
1766633908.622516,46492.000,5481,2,PG,1,100,10406
1766633908.662513,46532.000,5496,3,PG,1,100,10423
1766633908.702509,46572.000,5496,3,PG,1,100,10450
1766633908.742506,46612.000,5496,3,PG,1,100,10470
1766633908.782503,46652.000,5512,3,PG,1,100,10507
1766633908.822500,46692.000,5512,3,PG,1,100,10527
1766633908.862497,46732.000,5512,3,PG,1,100,10556
1766633908.902493,46772.000,5532,2,PG,1,100,10585
1766633908.942490,46812.000,5532,2,PG,1,100,10607
1766633908.982487,46852.000,5548,3,PG,1,100,10626
1766633909.022484,46892.000,5548,3,PG,1,100,10628
1766633909.062480,46932.000,5548,3,PG,1,100,10649
1766633909.102477,46972.000,5563,2,PG,1,100,10664
1766633909.142474,47012.000,5563,2,PG,1,100,10684
1766633909.188970,47058.500,5580,2,PG,1,100,10706
1766633909.235466,47105.000,5580,2,PG,1,100,10731
1766633909.275463,47145.000,5597,3,PG,1,100,10742
1766633909.315460,47185.000,5597,3,PG,1,100,10760
1766633909.355457,47225.000,5597,3,PG,1,100,10777
1766633909.395453,47265.000,5613,2,PG,1,100,10795
1766633909.435450,47305.000,5613,2,PG,1,100,10814
1766633909.475447,47345.000,5629,3,PG,1,100,10811
1766633909.515444,47385.000,5629,3,PG,1,100,10833
1766633909.555440,47425.000,5629,3,PG,1,100,10820
1766633909.595937,47465.500,5645,2,PG,1,100,10818
1766633909.636434,47506.000,5645,2,PG,1,100,10834
1766633909.676097,47545.667,5662,3,PG,1,100,10876
1766633909.715761,47585.333,5662,3,PG,1,100,10903
1766633909.755424,47625.000,5662,3,PG,1,100,10913
1766633909.795421,47665.000,5678,3,PG,1,100,10939
1766633909.835418,47705.000,5678,3,PG,1,100,10959
1766633909.875415,47745.000,5678,3,PG,1,100,10967
1766633909.915411,47785.000,5694,2,PG,1,100,10946
1766633909.955408,47825.000,5694,2,PG,1,100,10916
1766633909.995405,47865.000,5710,3,PG,1,100,10911
1766633910.035402,47905.000,5710,3,PG,1,100,10915
1766633910.075398,47945.000,5710,3,PG,1,100,10933
1766633910.115395,47985.000,5727,2,PG,1,100,10972
1766633910.155392,48025.000,5727,2,PG,1,100,11004
1766633910.195389,48065.000,5744,3,PG,1,100,11014
1766633910.235385,48105.000,5744,3,PG,1,100,11045
1766633910.275382,48145.000,5744,3,PG,1,100,11085
1766633910.315379,48185.000,5760,2,PG,1,100,11119
1766633910.355376,48225.000,5760,2,PG,1,100,11139
1766633910.395373,48265.000,5775,3,PG,1,100,11151
1766633910.435369,48305.000,5775,3,PG,1,100,11173
1766633910.475366,48345.000,5775,3,PG,1,100,11206
1766633910.515363,48385.000,5793,2,PG,1,100,11195
1766633910.555360,48425.000,5793,2,PG,1,100,11212
1766633910.595356,48465.000,5809,3,PG,1,100,11242
1766633910.635353,48505.000,5809,3,PG,1,100,11302
1766633910.675350,48545.000,5809,3,PG,1,100,11331
1766633910.715347,48585.000,5826,2,PG,1,100,11347
1766633910.755343,48625.000,5826,2,PG,1,100,11374
1766633910.795340,48665.000,5841,3,PG,1,100,11392
1766633910.835337,48705.000,5841,3,PG,1,100,11422
1766633910.875334,48745.000,5841,3,PG,1,100,11463
1766633910.915330,48785.000,5858,2,PG,1,100,11502
1766633910.955327,48825.000,5858,2,PG,1,100,11521
1766633910.995324,48865.000,5874,3,PG,1,100,11516
1766633911.035321,48905.000,5874,3,PG,1,100,11523
1766633911.075318,48945.000,5874,3,PG,1,100,11539
1766633911.115314,48985.000,5891,2,PG,1,100,11547
1766633911.155311,49025.000,5891,2,PG,1,100,11557
1766633911.195308,49065.000,5906,3,PG,1,100,11575
1766633911.235305,49105.000,5906,3,PG,1,100,11591
1766633911.275301,49145.000,5906,3,PG,1,100,11611
1766633911.315298,49185.000,5923,3,PG,1,100,11623
1766633911.355295,49225.000,5923,3,PG,1,100,11634
1766633911.395292,49265.000,5923,3,PG,1,100,11676
1766633911.435288,49305.000,5939,2,PG,1,100,11709
1766633911.475285,49345.000,5939,2,PG,1,100,11713
1766633911.515282,49385.000,5957,3,PG,1,100,11735
1766633911.555279,49425.000,5957,3,PG,1,100,11737
1766633911.595276,49465.000,5957,3,PG,1,100,11760
1766633911.635272,49505.000,5971,2,PG,1,100,11775
1766633911.675269,49545.000,5971,2,PG,1,100,11783
1766633911.715266,49585.000,5993,3,PG,1,100,11804
1766633911.755263,49625.000,5993,3,PG,1,100,11819
1766633911.795259,49665.000,5993,3,PG,1,100,11805
1766633911.835256,49705.000,6010,2,PG,1,100,11794
1766633911.875253,49745.000,6010,2,PG,1,100,11798
1766633911.915250,49785.000,6027,3,PG,1,100,11801
1766633911.955246,49825.000,6027,3,PG,1,100,11816
1766633911.995243,49865.000,6027,3,PG,1,100,11825
1766633912.035240,49905.000,6041,2,PG,1,100,11840
1766633912.075237,49945.000,6041,2,PG,1,100,11845
1766633912.115233,49985.000,6058,3,PG,1,100,11862
1766633912.155230,50025.000,6058,3,PG,1,100,11871
1766633912.195227,50065.000,6058,3,PG,1,100,11887
1766633912.235224,50105.000,6075,2,PG,1,100,11889
1766633912.275221,50145.000,6075,2,PG,1,100,11890
1766633912.315217,50185.000,6092,3,PG,1,100,11903
1766633912.355214,50225.000,6092,3,PG,1,100,11924
1766633912.395211,50265.000,6092,3,PG,1,100,11922
1766633912.435208,50305.000,6106,2,PG,1,100,11929
1766633912.475204,50345.000,6106,2,PG,1,100,11951
1766633912.515201,50385.000,6124,3,PG,1,100,11952
1766633912.555198,50425.000,6124,3,PG,1,100,11954
1766633912.595195,50465.000,6124,3,PG,1,100,11978
1766633912.635191,50505.000,6140,2,PG,1,100,11995
1766633912.675188,50545.000,6140,2,PG,1,100,12017
1766633912.715185,50585.000,6157,3,PG,1,100,12029
1766633912.755182,50625.000,6157,3,PG,1,100,12037
1766633912.795178,50665.000,6157,3,PG,1,100,12060
1766633912.835175,50705.000,6173,3,PG,1,100,12042
1766633912.875172,50745.000,6173,3,PG,1,100,12011
1766633912.915169,50785.000,6173,3,PG,1,100,12022
1766633912.955166,50825.000,6189,2,PG,1,100,12015
1766633912.995162,50865.000,6189,2,PG,1,100,12023
1766633913.035159,50905.000,6205,3,PG,1,100,12036
1766633913.075156,50945.000,6205,3,PG,1,100,12060
1766633913.115153,50985.000,6205,3,PG,1,100,12053
1766633913.155149,51025.000,6222,2,PG,1,100,12050
1766633913.195146,51065.000,6222,2,PG,1,100,12048
1766633913.235143,51105.000,6238,3,PG,1,100,12058
1766633913.275140,51145.000,6238,3,PG,1,100,12103
1766633913.315136,51185.000,6238,3,PG,1,100,12123
1766633913.355133,51225.000,6254,2,PG,1,100,12141
1766633913.395130,51265.000,6254,2,PG,1,100,12164
1766633913.435127,51305.000,6270,3,PG,1,100,12168
1766633913.475123,51345.000,6270,3,PG,1,100,12154
1766633913.515120,51385.000,6270,3,PG,1,100,12165
1766633913.555117,51425.000,6288,2,PG,1,100,12192
1766633913.595114,51465.000,6288,2,PG,1,100,12200
1766633913.635111,51505.000,6304,3,PG,1,100,12237
1766633913.675107,51545.000,6304,3,PG,1,100,12269
1766633913.715104,51585.000,6304,3,PG,1,100,12270
1766633913.755101,51625.000,6319,2,PG,1,100,12271
1766633913.795098,51665.000,6319,2,PG,1,100,12275
1766633913.835094,51705.000,6336,3,PG,1,100,12296
1766633913.875091,51745.000,6336,3,PG,1,100,12310
1766633913.915088,51785.000,6336,3,PG,1,100,12325
1766633913.955085,51825.000,6355,2,PG,1,100,12345
1766633913.995081,51865.000,6355,2,PG,1,100,12360
1766633914.035078,51905.000,6371,3,PG,1,100,12376
1766633914.075075,51945.000,6371,3,PG,1,100,12385
1766633914.115072,51985.000,6371,3,PG,1,100,12411
1766633914.161568,52031.500,6387,2,PG,1,100,12421
1766633914.208064,52078.000,6387,2,PG,1,100,12427
1766633914.248061,52118.000,6403,3,PG,1,100,12448
1766633914.288058,52158.000,6403,3,PG,1,100,12480
1766633914.328055,52198.000,6403,3,PG,1,100,12486
1766633914.368051,52238.000,6420,2,PG,1,100,12507
1766633914.408048,52278.000,6420,2,PG,1,100,12515
1766633914.448045,52318.000,6436,3,PG,1,100,12531
1766633914.488042,52358.000,6436,3,PG,1,100,12529
1766633914.528038,52398.000,6436,3,PG,1,100,12564
1766633914.568035,52438.000,6452,2,PG,1,100,12575
1766633914.608032,52478.000,6452,2,PG,1,100,12583
1766633914.648029,52518.000,6468,3,PG,1,100,12601
1766633914.688025,52558.000,6468,3,PG,1,100,12592
1766633914.728022,52598.000,6468,3,PG,1,100,12604
1766633914.768019,52638.000,6485,2,PG,1,100,12624
1766633914.808016,52678.000,6485,2,PG,1,100,12629
1766633914.848012,52718.000,6502,3,PG,1,100,12626
1766633914.888009,52758.000,6502,3,PG,1,100,12622
1766633914.928006,52798.000,6502,3,PG,1,100,12643
1766633914.968003,52838.000,6517,2,PG,1,100,12634
1766633915.008000,52878.000,6517,2,PG,1,100,12651
