LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1766633906.622678,44492.000,5152,3,PR,1,100,136836
1766633906.622678,44492.000,5152,3,PR,1,100,136723
1766633906.622678,44492.000,5152,3,PR,1,100,136698
1766633906.662674,44532.000,5169,2,PR,1,100,136794
1766633906.702671,44572.000,5169,2,PR,1,100,136906
1766633906.742668,44612.000,5185,3,PR,1,100,137063
1766633906.782665,44652.000,5185,3,PR,1,100,136999
1766633906.822661,44692.000,5185,3,PR,1,100,136852
1766633906.862658,44732.000,5203,2,PR,1,100,136795
1766633906.902655,44772.000,5203,2,PR,1,100,136815
1766633906.942652,44812.000,5217,3,PR,1,100,136915
1766633906.982649,44852.000,5217,3,PR,1,100,137053
1766633907.022645,44892.000,5217,3,PR,1,100,137330
1766633907.062642,44932.000,5234,2,PR,1,100,137634
1766633907.102639,44972.000,5234,2,PR,1,100,137884
1766633907.142636,45012.000,5251,3,PR,1,100,137918
1766633907.182632,45052.000,5251,3,PR,1,100,138004
1766633907.222629,45092.000,5251,3,PR,1,100,138038
1766633907.262626,45132.000,5268,2,PR,1,100,138092
1766633907.302623,45172.000,5268,2,PR,1,100,138306
1766633907.342619,45212.000,5282,3,PR,1,100,138424
1766633907.382616,45252.000,5282,3,PR,1,100,138625
1766633907.422613,45292.000,5282,3,PR,1,100,138830
1766633907.462610,45332.000,5299,3,PR,1,100,139026
1766633907.502606,45372.000,5299,3,PR,1,100,139131
1766633907.542603,45412.000,5299,3,PR,1,100,139184
1766633907.582600,45452.000,5316,2,PR,1,100,139509
1766633907.622597,45492.000,5316,2,PR,1,100,139960
1766633907.662594,45532.000,5333,3,PR,1,100,140263
1766633907.702590,45572.000,5333,3,PR,1,100,140516
1766633907.742587,45612.000,5333,3,PR,1,100,140757
1766633907.782584,45652.000,5347,2,PR,1,100,141079
1766633907.822581,45692.000,5347,2,PR,1,100,141473
1766633907.862577,45732.000,5365,3,PR,1,100,141746
1766633907.902574,45772.000,5365,3,PR,1,100,141946
1766633907.942571,45812.000,5365,3,PR,1,100,142168
1766633907.982568,45852.000,5381,2,PR,1,100,142359
1766633908.022564,45892.000,5381,2,PR,1,100,142508
1766633908.062895,45932.333,5398,3,PR,1,100,142664
1766633908.103225,45972.667,5398,3,PR,1,100,142821
1766633908.143555,46013.000,5398,3,PR,1,100,143118
1766633908.183052,46052.500,5414,2,PR,1,100,143475
1766633908.222548,46092.000,5414,2,PR,1,100,143693
1766633908.262545,46132.000,5430,3,PR,1,100,143742
1766633908.302542,46172.000,5430,3,PR,1,100,143696
1766633908.342539,46212.000,5430,3,PR,1,100,143692
1766633908.382535,46252.000,5446,2,PR,1,100,143864
1766633908.422532,46292.000,5446,2,PR,1,100,144144
1766633908.462529,46332.000,5464,3,PR,1,100,144443
1766633908.502526,46372.000,5464,3,PR,1,100,144661
1766633908.542522,46412.000,5464,3,PR,1,100,144855
1766633908.582519,46452.000,5480,2,PR,1,100,145024
1766633908.622516,46492.000,5480,2,PR,1,100,145192
1766633908.662513,46532.000,5495,3,PR,1,100,145303
1766633908.702509,46572.000,5495,3,PR,1,100,145425
1766633908.742506,46612.000,5495,3,PR,1,100,145550
1766633908.782503,46652.000,5511,3,PR,1,100,145655
1766633908.822500,46692.000,5511,3,PR,1,100,145709
1766633908.862497,46732.000,5511,3,PR,1,100,145818
1766633908.902493,46772.000,5531,2,PR,1,100,145888
1766633908.942490,46812.000,5531,2,PR,1,100,145954
1766633908.982487,46852.000,5547,3,PR,1,100,145957
1766633909.022484,46892.000,5547,3,PR,1,100,145908
