LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1766633906.592680,44462.000,5147,2,RD,1,100,TL
1766633906.592680,44462.000,5147,2,RD,1,100,TU
1766633909.163972,47033.500,5987,2,RD,1,100,TL
1766633911.735264,49605.000,5987,2,RD,1,100,TU
1766633914.288558,52158.500,6813,2,RD,1,100,TL
1766633916.841851,54712.000,6813,2,RD,1,100,TU
1766633919.395145,57265.500,7640,2,RD,1,100,TL
1766633921.948438,59819.000,7640,2,RD,1,100,TU
1766633924.517730,62388.500,8503,2,RD,1,100,TL
1766633927.087023,64958.000,8503,2,RD,1,100,TU
1766633929.640816,67512.000,9338,2,RD,1,100,TL
1766633932.194610,70066.000,9338,2,RD,1,100,TU
1766633934.757402,72629.000,10200,2,RD,1,100,TL
1766633937.320195,75192.000,10200,2,RD,1,100,TU
1766633939.876488,77748.500,11053,2,RD,1,100,TL
1766633942.432782,80305.000,11053,2,RD,1,100,TU
1766633944.985575,82858.000,11881,2,RD,1,100,TL
1766633947.538369,85411.000,11881,2,RD,1,100,TU
1766633950.091162,87964.000,12707,2,RD,1,100,TL
1766633952.643956,90517.000,12707,2,RD,1,100,TU
1766633955.219248,93092.500,13554,2,RD,1,100,TL
1766633957.794539,95668.000,13554,2,RD,1,100,TU
1766633960.347833,98221.500,14385,2,RD,1,100,TL
1766633962.901127,100775.000,14385,2,RD,1,100,TU
