RD,TS_received,TS_sent,AK,RoundTrip,
44462,44475,2025-12-24_19-38-26-599179,44479,13,
49605,49634,2025-12-24_19-38-31-739638,49636,29,
54712,54751,2025-12-24_19-38-36-865855,54753,39,
59819,59839,2025-12-24_19-38-41-959876,59840,20,
64958,64972,2025-12-24_19-38-47-094913,64973,14,
70066,75188,2025-12-24_19-38-52-200436,75190,5122,
75192,75268,2025-12-24_19-38-57-330290,75269,76,
80305,80359,2025-12-24_19-39-02-453143,80360,54,
85411,85457,2025-12-24_19-39-07-553083,85458,46,
90517,90531,2025-12-24_19-39-12-650955,90533,14,
95668,95706,2025-12-24_19-39-17-817647,95707,38,
100775,100794,2025-12-24_19-39-22-917285,100795,19,
