LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1766715437.681847,21738.000,1490,1,B%,1,100,100
1766715442.681847,26738.000,2297,1,B%,1,100,100
1766715447.680847,31737.000,3108,1,B%,1,100,100
1766715452.680847,36737.000,3935,1,B%,1,100,100
1766715457.679847,41736.000,4748,1,B%,1,100,100
1766715462.679847,46736.000,5566,1,B%,1,100,100
1766715467.678847,51735.000,6380,1,B%,1,100,100
1766715472.678847,56735.000,7209,1,B%,1,100,100
1766715477.677847,61734.000,8029,1,B%,1,100,100
1766715482.677847,66734.000,8845,1,B%,1,100,100
1766715487.676847,71733.000,9678,1,B%,1,100,100
1766715492.676847,76733.000,10498,1,B%,1,100,100
1766715497.675847,81732.000,11309,1,B%,1,100,100
1766715502.675847,86732.000,12124,1,B%,1,100,100
1766715507.674847,91731.000,12955,1,B%,1,100,99
1766715512.674847,96731.000,13764,1,B%,1,100,100
1766715517.673847,101730.000,14576,1,B%,1,100,100
1766715522.673847,106730.000,15388,1,B%,1,100,100
1766715527.672847,111729.000,16219,1,B%,1,100,100
1766715532.672847,116729.000,17029,1,B%,1,100,100
1766715537.671847,121728.000,17838,1,B%,1,100,99
1766715542.671847,126728.000,18649,1,B%,1,100,99
1766715547.670847,131727.000,19476,1,B%,1,100,99
1766715552.670847,136727.000,20287,1,B%,1,100,99
1766715557.669847,141726.000,21101,1,B%,1,100,99
1766715562.669847,146726.000,21917,1,B%,1,100,99
1766715567.668847,151725.000,22729,1,B%,1,100,99
1766715572.668847,156725.000,23556,1,B%,1,100,98
1766715577.667847,161724.000,24366,1,B%,1,100,98
1766715582.667847,166724.000,25179,1,B%,1,100,98
1766715587.673847,171730.000,25984,1,B%,1,100,98
1766715592.673847,176730.000,26814,1,B%,1,100,97
1766715597.685847,181742.000,27610,1,B%,1,100,97
1766715602.692847,186749.000,28435,1,B%,1,100,98
1766715607.691847,191748.000,29241,1,B%,1,100,98
1766715612.691847,196748.000,30051,1,B%,1,100,97
1766715617.697847,201754.000,30861,1,B%,1,100,97
1766715622.710847,206767.000,31690,1,B%,1,100,97
1766715627.709847,211766.000,32499,1,B%,1,100,97
1766715632.715847,216772.000,33308,1,B%,1,100,97
1766715637.721847,221778.000,34137,1,B%,1,100,97
1766715642.734847,226791.000,34942,1,B%,1,100,96
1766715647.734847,231791.000,35752,1,B%,1,100,96
1766715652.740847,236797.000,36572,1,B%,1,100,96
1766715657.753847,241810.000,37398,1,B%,1,100,97
1766715662.752847,246809.000,38183,1,B%,1,100,96
1766715667.758847,251815.000,38991,1,B%,1,100,96
1766715672.758847,256815.000,39818,1,B%,1,100,96
1766715677.764847,261821.000,40632,1,B%,1,100,96
1766715682.770847,266827.000,41444,1,B%,1,100,96
1766715687.770847,271827.000,42250,1,B%,1,100,96
1766715692.769847,276826.000,43080,1,B%,1,100,95
1766715697.775847,281832.000,43889,1,B%,1,100,96
1766715702.782847,286839.000,44697,1,B%,1,100,96
1766715707.788847,291845.000,45511,1,B%,1,100,96
1766715712.787847,296844.000,46325,1,B%,1,100,96
1766715717.787847,301844.000,47150,1,B%,1,100,96
1766715722.786847,306843.000,47957,1,B%,1,100,96
1766715727.786847,311843.000,48771,1,B%,1,100,95
1766715732.785847,316842.000,49589,1,B%,1,100,96
1766715737.785847,321842.000,50401,1,B%,1,100,95
1766715742.798847,326855.000,51240,1,B%,1,100,96
1766715747.797847,331854.000,52059,1,B%,1,100,95
1766715752.797847,336854.000,52880,1,B%,1,100,95
1766715757.803847,341860.000,53721,1,B%,1,100,95
1766715762.809847,346866.000,54536,1,B%,1,100,95
1766715767.808847,351865.000,55358,1,B%,1,100,95
1766715772.808847,356865.000,56176,1,B%,1,100,95
1766715777.807847,361864.000,57015,1,B%,1,100,94
1766715782.807847,366864.000,57819,1,B%,1,100,95
1766715787.806847,371863.000,58652,1,B%,1,100,94
1766715792.813847,376870.000,59476,1,B%,1,100,94
1766715797.812847,381869.000,60286,1,B%,1,100,95
1766715802.825847,386882.000,61108,1,B%,1,100,94
1766715807.824847,391881.000,61953,1,B%,1,100,94
1766715812.824847,396881.000,62780,1,B%,1,100,94
1766715817.823847,401880.000,63604,1,B%,1,100,94
1766715822.830847,406887.000,64421,1,B%,1,100,94
1766715827.829847,411886.000,65238,1,B%,1,100,94
1766715832.835847,416892.000,525,1,B%,1,100,93
1766715837.835847,421892.000,1334,1,B%,1,100,94
1766715842.868847,426925.000,2135,1,B%,1,100,93
1766715847.874847,431931.000,2958,1,B%,1,100,93
1766715852.873847,436930.000,3769,1,B%,1,100,93
1766715857.879847,441936.000,4580,1,B%,1,100,92
1766715862.886847,446943.000,5394,1,B%,1,100,93
1766715867.885847,451942.000,6229,1,B%,1,100,93
1766715872.898847,456955.000,7040,1,B%,1,100,92
1766715877.904847,461961.000,7847,1,B%,1,100,93
1766715882.904847,466961.000,8667,1,B%,1,100,92
1766715887.903847,471960.000,9492,1,B%,1,100,92
1766715892.903847,476960.000,10303,1,B%,1,100,92
1766715897.902847,481959.000,11120,1,B%,1,100,92
1766715902.908847,486965.000,11933,1,B%,1,100,92
1766715907.908847,491965.000,12756,1,B%,1,100,92
1766715912.907847,496964.000,13568,1,B%,1,100,91
1766715917.907847,501964.000,14379,1,B%,1,100,91
1766715922.920847,506977.000,15186,1,B%,1,100,92
1766715927.919847,511976.000,15995,1,B%,1,100,91
1766715932.919847,516976.000,16828,1,B%,1,100,91
1766715937.918847,521975.000,17650,1,B%,1,100,91
1766715942.918847,526975.000,18472,1,B%,1,100,91
1766715947.917847,531974.000,19286,1,B%,1,100,91
1766715952.917847,536974.000,20124,1,B%,1,100,91
1766715957.916847,541973.000,20941,1,B%,1,100,91
1766715962.929847,546986.000,21763,1,B%,1,100,90
1766715967.928847,551985.000,22576,1,B%,1,100,90
1766715972.928847,556985.000,23389,1,B%,1,100,90
1766715977.941847,561998.000,24230,1,B%,1,100,90
1766715982.954847,567011.000,25053,1,B%,1,100,90
1766715987.953847,572010.000,25877,1,B%,1,100,90
1766715992.959847,577016.000,26691,1,B%,1,100,90
1766715997.965847,582022.000,27522,1,B%,1,100,90
1766716002.972847,587029.000,28336,1,B%,1,100,90
1766716007.971847,592028.000,29153,1,B%,1,100,90
1766716012.977847,597034.000,29964,1,B%,1,100,89
1766716017.977847,602034.000,30801,1,B%,1,100,89
1766716022.983847,607040.000,31620,1,B%,1,100,89
1766716027.982847,612039.000,32439,1,B%,1,100,89
1766716032.982847,617039.000,33260,1,B%,1,100,89
1766716037.981847,622038.000,34079,1,B%,1,100,88
1766716043.001847,627058.000,34915,1,B%,1,100,88
1766716048.000847,632057.000,35735,1,B%,1,100,89
1766716053.007847,637064.000,36544,1,B%,1,100,89
1766716058.013847,642070.000,37367,1,B%,1,100,88
1766716063.019847,647076.000,38179,1,B%,1,100,89
1766716068.018847,652075.000,38984,1,B%,1,100,88
1766716073.018847,657075.000,39791,1,B%,1,100,88
1766716078.024847,662081.000,40602,1,B%,1,100,88
1766716083.024847,667081.000,41411,1,B%,1,100,88
1766716088.030847,672087.000,42236,1,B%,1,100,88
1766716093.029847,677086.000,43044,1,B%,1,100,88
1766716098.029847,682086.000,43852,1,B%,1,100,87
1766716103.035847,687092.000,44658,1,B%,1,100,87
1766716108.034847,692091.000,45461,1,B%,1,100,87
1766716113.034847,697091.000,46280,1,B%,1,100,88
1766716118.040847,702097.000,47084,1,B%,1,100,87
1766716123.040847,707097.000,47901,1,B%,1,100,88
1766716128.039847,712096.000,48717,1,B%,1,100,87
1766716133.045847,717102.000,49552,1,B%,1,100,88
1766716138.045847,722102.000,50370,1,B%,1,100,86
1766716143.058847,727115.000,51183,1,B%,1,100,87
1766716148.070847,732127.000,52002,1,B%,1,100,87
1766716153.077847,737134.000,52841,1,B%,1,100,87
1766716158.083847,742140.000,53666,1,B%,1,100,87
1766716163.089847,747146.000,54484,1,B%,1,100,87
1766716168.095847,752152.000,55299,1,B%,1,100,87
1766716173.095847,757152.000,56136,1,B%,1,100,87
1766716178.094847,762151.000,56951,1,B%,1,100,86
1766716183.100847,767157.000,57765,1,B%,1,100,86
1766716188.100847,772157.000,58578,1,B%,1,100,87
1766716193.099847,777156.000,59409,1,B%,1,100,86
1766716198.105847,782162.000,60226,1,B%,1,100,86
1766716203.111847,787168.000,61046,1,B%,1,100,86
1766716208.111847,792168.000,61854,1,B%,1,100,87
1766716213.111847,797168.000,62675,1,B%,1,100,86
1766716218.117847,802174.000,63479,1,B%,1,100,86
1766716223.123847,807180.000,64291,1,B%,1,100,86
1766716228.122847,812179.000,65106,1,B%,1,100,86
1766716233.129847,817186.000,381,1,B%,1,100,86
1766716238.128847,822185.000,1216,1,B%,1,100,85
1766716243.134847,827191.000,2030,1,B%,1,100,85
1766716248.140847,832197.000,2851,1,B%,1,100,85
1766716253.140847,837197.000,3666,1,B%,1,100,85
1766716258.139847,842196.000,4499,1,B%,1,100,85
1766716263.159847,847216.000,5326,1,B%,1,100,85
1766716268.165847,852222.000,6146,1,B%,1,100,85
1766716273.165847,857222.000,6958,1,B%,1,100,85
1766716278.164847,862221.000,7783,1,B%,1,100,85
1766716283.170847,867227.000,8593,1,B%,1,100,85
1766716288.170847,872227.000,9407,1,B%,1,100,85
1766716293.176847,877233.000,10215,1,B%,1,100,84
1766716298.175847,882232.000,11042,1,B%,1,100,84
1766716303.195847,887252.000,11854,1,B%,1,100,84
1766716308.194847,892251.000,12667,1,B%,1,100,85
