LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1766715433.337847,17394,752,1,BI,1,100,1320
1766715434.577847,18634,950,1,BI,1,100,1240
1766715434.817847,18874,1003,1,BI,1,100,240
1766715435.257847,19314,1072,1,BI,1,100,440
1766715436.511847,20568,1288,1,BI,1,100,1240
1766715437.424847,21481,1421,1,BI,1,100,920
1766715438.064847,22121,1540,1,BI,1,100,640
1766715439.237847,23294,1720,1,BI,1,100,1160
1766715441.957847,26014,2164,1,BI,1,100,2720
1766715443.116847,27173,2346,1,BI,1,100,1160
1766715445.250847,29307,2692,1,BI,1,100,2120
1766715445.809847,29866,2793,1,BI,1,100,560
1766715446.129847,30186,2843,1,BI,1,100,320
1766715447.049847,31106,2992,1,BI,1,100,920
1766715447.983847,32040,3143,1,BI,1,100,920
1766715450.542847,34599,3570,1,BI,1,100,2560
1766715451.422847,35479,3702,1,BI,1,100,880
1766715452.102847,36159,3819,1,BI,1,100,680
1766715452.955847,37012,3953,1,BI,1,100,840
1766715453.715847,37772,4085,1,BI,1,100,760
1766715455.515847,39572,4382,1,BI,1,100,1800
1766715455.795847,39852,4418,1,BI,1,100,280
1766715457.848847,41905,4750,1,BI,1,100,2040
1766715458.088847,42145,4800,1,BI,1,100,240
1766715458.728847,42785,4900,1,BI,1,100,640
1766715461.408847,45465,5347,1,BI,1,100,2680
1766715462.461847,46518,5515,1,BI,1,100,1040
1766715463.341847,47398,5665,1,BI,1,100,880
1766715463.981847,48038,5764,1,BI,1,100,640
1766715464.941847,48998,5914,1,BI,1,100,960
1766715465.941847,49998,6080,1,BI,1,100,1000
1766715467.234847,51291,6298,1,BI,1,100,1280
1766715468.594847,52651,6513,1,BI,1,100,1360
1766715469.754847,53811,6713,1,BI,1,100,1160
1766715470.954847,55011,6910,1,BI,1,100,1200
1766715472.167847,56224,7110,1,BI,1,100,1200
1766715473.327847,57384,7294,1,BI,1,100,1160
1766715474.527847,58584,7494,1,BI,1,100,1200
1766715475.727847,59784,7692,1,BI,1,100,1200
