LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1766715433.337847,17394,753,1,HR,1,100,41.95
1766715434.577847,18634,951,1,HR,1,100,43.38
1766715434.817847,18874,1004,1,HR,1,100,89.30
1766715435.257847,19314,1073,1,HR,1,100,99.76
1766715436.511847,20568,1289,1,HR,1,100,88.34
1766715437.424847,21481,1422,1,HR,1,100,83.20
1766715438.064847,22121,1541,1,HR,1,100,85.55
1766715439.237847,23294,1721,1,HR,1,100,78.03
1766715441.957847,26014,2165,1,HR,1,100,65.59
1766715443.116847,27173,2347,1,HR,1,100,62.51
1766715445.250847,29307,2693,1,HR,1,100,54.91
1766715445.809847,29866,2794,1,HR,1,100,66.52
1766715446.129847,30186,2844,1,HR,1,100,93.40
1766715447.049847,31106,2993,1,HR,1,100,87.14
1766715447.983847,32040,3144,1,HR,1,100,82.27
1766715450.542847,34599,3571,1,HR,1,100,69.19
1766715451.422847,35479,3703,1,HR,1,100,68.97
1766715452.102847,36159,3820,1,HR,1,100,73.25
1766715452.955847,37012,3954,1,HR,1,100,72.85
1766715453.715847,37772,4086,1,HR,1,100,74.20
1766715455.515847,39572,4383,1,HR,1,100,65.12
1766715455.795847,39852,4419,1,HR,1,100,98.27
1766715457.848847,41905,4751,1,HR,1,100,82.97
1766715458.088847,42145,4801,1,HR,1,100,120.09
1766715458.728847,42785,4901,1,HR,1,100,114.23
1766715461.408847,45465,5348,1,HR,1,100,93.82
1766715462.461847,46518,5516,1,HR,1,100,85.79
1766715463.341847,47398,5666,1,HR,1,100,81.88
1766715463.981847,48038,5765,1,HR,1,100,84.52
1766715464.941847,48998,5915,1,HR,1,100,79.62
1766715465.941847,49998,6081,1,HR,1,100,75.26
1766715467.234847,51291,6299,1,HR,1,100,68.95
1766715468.594847,52651,6514,1,HR,1,100,63.43
1766715469.754847,53811,6714,1,HR,1,100,60.83
1766715470.954847,55011,6911,1,HR,1,100,58.43
1766715472.167847,56224,7111,1,HR,1,100,56.55
1766715473.327847,57384,7295,1,HR,1,100,55.48
1766715474.527847,58584,7495,1,HR,1,100,54.26
1766715475.727847,59784,7693,1,HR,1,100,53.31
1766715476.100847,60157,7745,1,HR,1,100,78.51
1766715476.940847,60997,7894,1,HR,1,100,76.93
1766715478.140847,62197,8079,1,HR,1,100,70.95
1766715479.379847,63436,8297,1,HR,1,100,65.93
1766715480.633847,64690,8495,1,HR,1,100,62.03
1766715481.873847,65930,8695,1,HR,1,100,59.00
1766715482.312847,66369,8779,1,HR,1,100,76.19
1766715483.073847,67130,8896,1,HR,1,100,76.81
1766715484.312847,68369,9094,1,HR,1,100,70.49
1766715485.566847,69623,9311,1,HR,1,100,65.58
1766715486.765847,70822,9511,1,HR,1,100,62.12
1766715488.045847,72102,9714,1,HR,1,100,58.73
1766715488.365847,72422,9764,1,HR,1,100,87.35
1766715489.325847,73382,9930,1,HR,1,100,81.82
1766715490.538847,74595,10132,1,HR,1,100,74.75
1766715491.618847,75675,10298,1,HR,1,100,70.49
1766715491.858847,75915,10349,1,HR,1,100,110.38
1766715492.938847,76995,10517,1,HR,1,100,98.20
1766715494.418847,78475,10762,1,HR,1,100,85.38
1766715495.751847,79808,10977,1,HR,1,100,76.51
1766715496.951847,81008,11176,1,HR,1,100,70.62
1766715497.951847,82008,11343,1,HR,1,100,68.26
1766715498.311847,82368,11393,1,HR,1,100,90.13
1766715499.111847,83168,11525,1,HR,1,100,86.77
1766715500.444847,84501,11740,1,HR,1,100,77.59
1766715501.124847,85181,11858,1,HR,1,100,79.95
1766715502.044847,86101,12007,1,HR,1,100,76.68
1766715502.364847,86421,12057,1,HR,1,100,101.31
1766715503.244847,87301,12209,1,HR,1,100,93.94
1766715504.497847,88554,12411,1,HR,1,100,83.82
1766715505.697847,89754,12608,1,HR,1,100,76.30
1766715506.897847,90954,12806,1,HR,1,100,70.46
1766715508.097847,92154,13006,1,HR,1,100,65.91
1766715509.350847,93407,13203,1,HR,1,100,62.02
