LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1766715433.138847,17195.000,734,3,MZ,1,100,30
1766715433.138847,17195.000,734,3,MZ,1,100,30
1766715433.138847,17195.000,734,3,MZ,1,100,29
1766715433.178847,17235.000,751,3,MZ,1,100,31
1766715433.218847,17275.000,751,3,MZ,1,100,31
1766715433.258847,17315.000,751,3,MZ,1,100,30
1766715433.298347,17354.500,769,2,MZ,1,100,30
1766715433.337847,17394.000,769,2,MZ,1,100,28
1766715433.377847,17434.000,787,3,MZ,1,100,30
1766715433.417847,17474.000,787,3,MZ,1,100,30
1766715433.457847,17514.000,787,3,MZ,1,100,31
1766715433.498347,17554.500,801,2,MZ,1,100,31
1766715433.538847,17595.000,801,2,MZ,1,100,31
1766715433.578514,17634.667,818,3,MZ,1,100,31
1766715433.618181,17674.333,818,3,MZ,1,100,30
1766715433.657847,17714.000,818,3,MZ,1,100,31
1766715433.697847,17754.000,835,2,MZ,1,100,31
1766715433.737847,17794.000,835,2,MZ,1,100,30
1766715433.777847,17834.000,852,3,MZ,1,100,31
1766715433.817847,17874.000,852,3,MZ,1,100,31
1766715433.857847,17914.000,852,3,MZ,1,100,30
1766715433.897847,17954.000,867,2,MZ,1,100,30
1766715433.937847,17994.000,867,2,MZ,1,100,30
1766715433.973181,18029.333,884,3,MZ,1,100,31
1766715434.008514,18064.667,884,3,MZ,1,100,31
1766715434.043847,18100.000,884,3,MZ,1,100,30
1766715434.083847,18140.000,900,3,MZ,1,100,31
1766715434.123847,18180.000,900,3,MZ,1,100,31
1766715434.163847,18220.000,900,3,MZ,1,100,31
1766715434.203847,18260.000,917,2,MZ,1,100,31
1766715434.243847,18300.000,917,2,MZ,1,100,32
1766715434.283847,18340.000,934,3,MZ,1,100,32
1766715434.323847,18380.000,934,3,MZ,1,100,31
1766715434.363847,18420.000,934,3,MZ,1,100,31
1766715434.403847,18460.000,949,2,MZ,1,100,33
1766715434.443847,18500.000,949,2,MZ,1,100,31
1766715434.483847,18540.000,967,3,MZ,1,100,26
1766715434.523847,18580.000,967,3,MZ,1,100,24
1766715434.563847,18620.000,967,3,MZ,1,100,20
1766715434.604180,18660.333,984,3,MZ,1,100,19
1766715434.644514,18700.667,984,3,MZ,1,100,20
1766715434.684847,18741.000,984,3,MZ,1,100,21
1766715434.724347,18780.500,1001,2,MZ,1,100,20
1766715434.763847,18820.000,1001,2,MZ,1,100,20
1766715434.799514,18855.667,1020,3,MZ,1,100,19
1766715434.835181,18891.333,1020,3,MZ,1,100,18
1766715434.870847,18927.000,1020,3,MZ,1,100,17
1766715434.910847,18967.000,1036,3,MZ,1,100,19
1766715434.950847,19007.000,1036,3,MZ,1,100,15
