LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1766715433.058847,17115.000,715,1,PI,1,100,166012
1766715433.098347,17154.500,721,2,PI,1,100,165975
1766715433.137847,17194.000,721,2,PI,1,100,165949
1766715433.178180,17234.333,736,3,PI,1,100,165967
1766715433.218514,17274.667,736,3,PI,1,100,165966
1766715433.258847,17315.000,736,3,PI,1,100,166045
1766715433.298347,17354.500,754,2,PI,1,100,166088
1766715433.337847,17394.000,754,2,PI,1,100,166100
1766715433.377847,17434.000,772,3,PI,1,100,166101
1766715433.417847,17474.000,772,3,PI,1,100,166040
1766715433.457847,17514.000,772,3,PI,1,100,165979
1766715433.498347,17554.500,788,2,PI,1,100,165873
1766715433.538847,17595.000,788,2,PI,1,100,165863
1766715433.578514,17634.667,803,3,PI,1,100,165851
1766715433.618181,17674.333,803,3,PI,1,100,165788
1766715433.657847,17714.000,803,3,PI,1,100,165719
1766715433.697847,17754.000,820,2,PI,1,100,165667
1766715433.737847,17794.000,820,2,PI,1,100,165655
1766715433.777847,17834.000,837,3,PI,1,100,165601
1766715433.817847,17874.000,837,3,PI,1,100,165596
1766715433.857847,17914.000,837,3,PI,1,100,165528
1766715433.897847,17954.000,853,2,PI,1,100,165218
1766715433.937847,17994.000,853,2,PI,1,100,164933
1766715433.977847,18034.000,870,3,PI,1,100,164743
1766715434.017847,18074.000,870,3,PI,1,100,164461
1766715434.057847,18114.000,870,3,PI,1,100,164016
1766715434.097847,18154.000,885,3,PI,1,100,163530
1766715434.137847,18194.000,885,3,PI,1,100,163280
1766715434.177847,18234.000,885,3,PI,1,100,163170
1766715434.218347,18274.500,902,2,PI,1,100,163134
1766715434.258847,18315.000,902,2,PI,1,100,163127
1766715434.298514,18354.667,919,3,PI,1,100,163197
1766715434.338181,18394.333,919,3,PI,1,100,163257
1766715434.377847,18434.000,919,3,PI,1,100,163135
1766715434.417847,18474.000,936,2,PI,1,100,162736
1766715434.457847,18514.000,936,2,PI,1,100,162640
1766715434.497847,18554.000,952,3,PI,1,100,163521
1766715434.537847,18594.000,952,3,PI,1,100,164259
1766715434.577847,18634.000,952,3,PI,1,100,162952
1766715434.617847,18674.000,969,2,PI,1,100,162152
1766715434.657847,18714.000,969,2,PI,1,100,161906
1766715434.697847,18754.000,986,3,PI,1,100,162366
1766715434.737847,18794.000,986,3,PI,1,100,163420
1766715434.777847,18834.000,986,3,PI,1,100,164533
1766715434.817847,18874.000,1007,2,PI,1,100,165067
1766715434.857847,18914.000,1007,2,PI,1,100,165152
1766715434.897847,18954.000,1021,3,PI,1,100,164972
1766715434.937847,18994.000,1021,3,PI,1,100,165004
1766715434.977847,19034.000,1021,3,PI,1,100,164819
1766715435.017847,19074.000,1039,2,PI,1,100,164631
1766715435.057847,19114.000,1039,2,PI,1,100,164466
1766715435.097847,19154.000,1055,3,PI,1,100,164495
1766715435.137847,19194.000,1055,3,PI,1,100,164463
1766715435.177847,19234.000,1055,3,PI,1,100,164593
1766715435.217847,19274.000,1074,2,PI,1,100,164700
1766715435.257847,19314.000,1074,2,PI,1,100,164807
1766715435.297847,19354.000,1089,3,PI,1,100,165057
1766715435.337847,19394.000,1089,3,PI,1,100,165272
1766715435.377847,19434.000,1089,3,PI,1,100,165479
1766715435.417847,19474.000,1106,2,PI,1,100,165629
1766715435.457847,19514.000,1106,2,PI,1,100,165771
1766715435.497847,19554.000,1122,3,PI,1,100,165899
1766715435.537847,19594.000,1122,3,PI,1,100,166072
1766715435.577847,19634.000,1122,3,PI,1,100,166157
1766715435.617847,19674.000,1142,3,PI,1,100,165998
1766715435.657847,19714.000,1142,3,PI,1,100,165504
1766715435.697847,19754.000,1142,3,PI,1,100,165757
1766715435.737847,19794.000,1157,2,PI,1,100,165883
1766715435.777847,19834.000,1157,2,PI,1,100,165946
1766715435.817847,19874.000,1174,3,PI,1,100,166071
1766715435.857847,19914.000,1174,3,PI,1,100,166312
1766715435.897847,19954.000,1174,3,PI,1,100,166485
1766715435.937847,19994.000,1190,2,PI,1,100,166514
1766715435.977847,20034.000,1190,2,PI,1,100,166533
1766715436.017847,20074.000,1208,3,PI,1,100,166499
1766715436.057847,20114.000,1208,3,PI,1,100,166480
1766715436.097847,20154.000,1208,3,PI,1,100,166341
1766715436.137847,20194.000,1223,2,PI,1,100,166210
1766715436.177847,20234.000,1223,2,PI,1,100,166169
1766715436.217847,20274.000,1239,3,PI,1,100,166166
1766715436.257847,20314.000,1239,3,PI,1,100,166178
1766715436.297847,20354.000,1239,3,PI,1,100,166141
1766715436.337847,20394.000,1256,2,PI,1,100,166152
1766715436.377847,20434.000,1256,2,PI,1,100,166176
1766715436.417847,20474.000,1273,2,PI,1,100,166211
1766715436.457847,20514.000,1273,2,PI,1,100,166232
1766715436.502514,20558.667,1290,3,PI,1,100,166183
1766715436.547180,20603.333,1290,3,PI,1,100,166095
1766715436.591847,20648.000,1290,3,PI,1,100,166072
1766715436.631514,20687.667,1307,3,PI,1,100,166111
1766715436.671180,20727.333,1307,3,PI,1,100,166169
1766715436.710847,20767.000,1307,3,PI,1,100,166184
1766715436.750847,20807.000,1323,2,PI,1,100,166254
1766715436.790847,20847.000,1323,2,PI,1,100,166305
1766715436.831180,20887.333,1340,3,PI,1,100,166340
1766715436.871514,20927.667,1340,3,PI,1,100,166362
1766715436.911847,20968.000,1340,3,PI,1,100,166416
1766715436.951347,21007.500,1356,2,PI,1,100,166405
1766715436.990847,21047.000,1356,2,PI,1,100,166352
1766715437.030847,21087.000,1372,3,PI,1,100,166227
1766715437.070847,21127.000,1372,3,PI,1,100,166016
1766715437.110847,21167.000,1372,3,PI,1,100,165770
1766715437.151514,21207.667,1388,3,PI,1,100,165421
1766715437.192180,21248.333,1388,3,PI,1,100,165140
1766715437.232847,21289.000,1388,3,PI,1,100,165270
1766715437.270180,21326.333,1405,3,PI,1,100,165359
1766715437.307514,21363.667,1405,3,PI,1,100,165465
1766715437.344847,21401.000,1405,3,PI,1,100,165716
1766715437.384847,21441.000,1424,2,PI,1,100,165797
1766715437.424847,21481.000,1424,2,PI,1,100,165706
1766715437.464847,21521.000,1440,3,PI,1,100,165565
1766715437.504847,21561.000,1440,3,PI,1,100,165500
1766715437.544847,21601.000,1440,3,PI,1,100,165438
1766715437.584847,21641.000,1455,2,PI,1,100,165455
1766715437.624847,21681.000,1455,2,PI,1,100,165453
1766715437.664847,21721.000,1473,3,PI,1,100,165474
1766715437.704847,21761.000,1473,3,PI,1,100,165400
1766715437.744847,21801.000,1473,3,PI,1,100,165096
1766715437.784847,21841.000,1491,2,PI,1,100,164602
1766715437.824847,21881.000,1491,2,PI,1,100,164275
1766715437.864847,21921.000,1508,3,PI,1,100,164391
1766715437.904847,21961.000,1508,3,PI,1,100,164658
1766715437.944847,22001.000,1508,3,PI,1,100,164753
1766715437.984847,22041.000,1523,2,PI,1,100,165010
1766715438.024847,22081.000,1523,2,PI,1,100,165446
1766715438.064847,22121.000,1542,3,PI,1,100,165436
1766715438.104847,22161.000,1542,3,PI,1,100,165255
1766715438.144847,22201.000,1542,3,PI,1,100,165167
1766715438.184847,22241.000,1558,2,PI,1,100,165108
1766715438.224847,22281.000,1558,2,PI,1,100,165065
1766715438.264847,22321.000,1575,3,PI,1,100,164916
1766715438.304847,22361.000,1575,3,PI,1,100,164797
1766715438.344847,22401.000,1575,3,PI,1,100,164551
1766715438.384847,22441.000,1590,2,PI,1,100,164348
1766715438.424847,22481.000,1590,2,PI,1,100,164219
1766715438.464847,22521.000,1607,3,PI,1,100,164126
1766715438.504847,22561.000,1607,3,PI,1,100,164181
1766715438.544847,22601.000,1607,3,PI,1,100,164301
1766715438.584847,22641.000,1623,2,PI,1,100,164244
1766715438.624847,22681.000,1623,2,PI,1,100,163648
1766715438.669180,22725.333,1641,3,PI,1,100,162688
1766715438.713514,22769.667,1641,3,PI,1,100,162244
1766715438.757847,22814.000,1641,3,PI,1,100,161968
1766715438.797847,22854.000,1655,2,PI,1,100,161888
1766715438.837847,22894.000,1655,2,PI,1,100,161879
1766715438.877847,22934.000,1672,3,PI,1,100,161875
1766715438.917847,22974.000,1672,3,PI,1,100,161876
1766715438.957847,23014.000,1672,3,PI,1,100,161959
1766715438.997847,23054.000,1689,2,PI,1,100,162027
1766715439.037847,23094.000,1689,2,PI,1,100,161967
1766715439.077847,23134.000,1706,3,PI,1,100,161866
1766715439.117847,23174.000,1706,3,PI,1,100,161958
1766715439.157847,23214.000,1706,3,PI,1,100,162213
1766715439.197847,23254.000,1722,2,PI,1,100,162495
1766715439.237847,23294.000,1722,2,PI,1,100,162308
1766715439.277847,23334.000,1739,3,PI,1,100,162128
1766715439.317847,23374.000,1739,3,PI,1,100,162196
1766715439.357847,23414.000,1739,3,PI,1,100,162260
1766715439.397847,23454.000,1756,2,PI,1,100,162314
1766715439.437847,23494.000,1756,2,PI,1,100,162444
1766715439.477847,23534.000,1773,3,PI,1,100,162542
1766715439.517847,23574.000,1773,3,PI,1,100,162554
1766715439.557847,23614.000,1773,3,PI,1,100,162583
1766715439.597847,23654.000,1787,2,PI,1,100,162629
1766715439.637847,23694.000,1787,2,PI,1,100,162735
1766715439.677847,23734.000,1805,3,PI,1,100,162789
1766715439.717847,23774.000,1805,3,PI,1,100,162787
1766715439.757847,23814.000,1805,3,PI,1,100,162748
1766715439.797847,23854.000,1821,3,PI,1,100,162719
1766715439.837847,23894.000,1821,3,PI,1,100,162677
1766715439.877847,23934.000,1821,3,PI,1,100,162641
1766715439.917847,23974.000,1838,2,PI,1,100,162614
1766715439.957847,24014.000,1838,2,PI,1,100,162681
1766715439.997847,24054.000,1854,3,PI,1,100,162793
1766715440.037847,24094.000,1854,3,PI,1,100,162937
1766715440.077847,24134.000,1854,3,PI,1,100,163102
1766715440.117847,24174.000,1870,2,PI,1,100,163275
1766715440.157847,24214.000,1870,2,PI,1,100,163421
1766715440.197847,24254.000,1886,3,PI,1,100,163601
1766715440.237847,24294.000,1886,3,PI,1,100,163874
1766715440.277847,24334.000,1886,3,PI,1,100,164206
1766715440.317847,24374.000,1904,2,PI,1,100,164496
1766715440.357847,24414.000,1904,2,PI,1,100,164605
1766715440.397847,24454.000,1920,3,PI,1,100,164614
1766715440.437847,24494.000,1920,3,PI,1,100,164637
1766715440.477847,24534.000,1920,3,PI,1,100,164618
1766715440.517847,24574.000,1935,2,PI,1,100,164578
1766715440.557847,24614.000,1935,2,PI,1,100,164575
1766715440.597847,24654.000,1951,3,PI,1,100,164615
1766715440.637847,24694.000,1951,3,PI,1,100,164585
1766715440.677847,24734.000,1951,3,PI,1,100,164567
