LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1766715433.043847,17100.000,714,1,SF,1,100,0.0000
1766715433.443847,17500.000,771,1,SF,1,100,0.0000
1766715433.709847,17766.000,819,1,SF,1,100,0.0000
1766715434.043847,18100.000,869,1,SF,1,100,0.0000
1766715434.376847,18433.000,918,1,SF,1,100,0.0000
1766715434.776847,18833.000,985,1,SF,1,100,0.0000
1766715435.043847,19100.000,1038,1,SF,1,100,2.0823
1766715435.376847,19433.000,1088,1,SF,1,100,2.0582
1766715435.776847,19833.000,1156,1,SF,1,100,2.0344
1766715436.043847,20100.000,1207,1,SF,1,100,2.0108
1766715436.376847,20433.000,1255,1,SF,1,100,1.9876
1766715436.709847,20766.000,1306,1,SF,1,100,1.9646
1766715437.109847,21166.000,1371,1,SF,1,100,1.9418
1766715437.382847,21439.000,1423,1,SF,1,100,1.9194
1766715437.716847,21773.000,1472,1,SF,1,100,1.8972
1766715438.049847,22106.000,1522,1,SF,1,100,1.8752
1766715438.449847,22506.000,1589,1,SF,1,100,1.8535
1766715438.716847,22773.000,1640,1,SF,1,100,1.8321
1766715439.049847,23106.000,1688,1,SF,1,100,1.8109
1766715439.449847,23506.000,1755,1,SF,1,100,1.7900
1766715439.715847,23772.000,1804,1,SF,1,100,1.7692
1766715440.049847,24106.000,1853,1,SF,1,100,1.7488
1766715440.382847,24439.000,1903,1,SF,1,100,1.7285
1766715440.782847,24839.000,1968,1,SF,1,100,1.7086
1766715441.049847,25106.000,2016,1,SF,1,100,1.6888
1766715441.382847,25439.000,2065,1,SF,1,100,1.6693
1766715441.782847,25839.000,2130,1,SF,1,100,1.6499
1766715442.049847,26106.000,2182,1,SF,1,100,1.6309
1766715442.382847,26439.000,2231,1,SF,1,100,1.6120
1766715442.715847,26772.000,2279,1,SF,1,100,1.5933
1766715443.115847,27172.000,2348,1,SF,1,100,1.5749
1766715443.382847,27439.000,2399,1,SF,1,100,1.5567
1766715443.715847,27772.000,2447,1,SF,1,100,1.5387
1766715444.115847,28172.000,2512,1,SF,1,100,1.5209
1766715444.382847,28439.000,2561,1,SF,1,100,1.5033
1766715444.715847,28772.000,2611,1,SF,1,100,1.4859
1766715445.048847,29105.000,2660,1,SF,1,100,1.4687
1766715445.448847,29505.000,2727,1,SF,1,100,1.4517
1766715445.715847,29772.000,2775,1,SF,1,100,1.4349
1766715446.048847,30105.000,2826,1,SF,1,100,1.4183
1766715446.448847,30505.000,2894,1,SF,1,100,1.4019
1766715446.781847,30838.000,2943,1,SF,1,100,1.3857
1766715447.048847,31105.000,2994,1,SF,1,100,1.3697
1766715447.381847,31438.000,3042,1,SF,1,100,1.3538
1766715447.781847,31838.000,3109,1,SF,1,100,1.3382
1766715448.048847,32105.000,3162,1,SF,1,100,1.3227
1766715448.381847,32438.000,3210,1,SF,1,100,1.3074
1766715448.781847,32838.000,3275,1,SF,1,100,1.2923
1766715449.114847,33171.000,3324,1,SF,1,100,1.2773
1766715449.381847,33438.000,3374,1,SF,1,100,1.2625
1766715449.714847,33771.000,3423,1,SF,1,100,1.2479
1766715450.114847,34171.000,3488,1,SF,1,100,1.2335
1766715450.381847,34438.000,3536,1,SF,1,100,1.2192
1766715450.714847,34771.000,3587,1,SF,1,100,1.2051
1766715451.114847,35171.000,3653,1,SF,1,100,1.1912
1766715451.448847,35505.000,3704,1,SF,1,100,1.1774
1766715451.714847,35771.000,3753,1,SF,1,100,1.1638
1766715452.048847,36105.000,3801,1,SF,1,100,1.1503
1766715452.447847,36504.000,3868,1,SF,1,100,1.1370
1766715452.714847,36771.000,3919,1,SF,1,100,1.1239
1766715453.047847,37104.000,3971,1,SF,1,100,1.1109
1766715453.447847,37504.000,4036,1,SF,1,100,1.0980
1766715453.781847,37838.000,4087,1,SF,1,100,1.0853
1766715454.047847,38104.000,4137,1,SF,1,100,1.0728
1766715454.381847,38438.000,4186,1,SF,1,100,1.0603
1766715454.781847,38838.000,4251,1,SF,1,100,1.0481
1766715455.047847,39104.000,4299,1,SF,1,100,1.0360
1766715455.381847,39438.000,4349,1,SF,1,100,1.0240
1766715455.714847,39771.000,4400,1,SF,1,100,1.0121
1766715456.114847,40171.000,4467,1,SF,1,100,1.0004
1766715456.380847,40437.000,4516,1,SF,1,100,0.9888
1766715456.714847,40771.000,4564,1,SF,1,100,0.9774
1766715457.114847,41171.000,4629,1,SF,1,100,0.9661
1766715457.380847,41437.000,4682,1,SF,1,100,3.0372
1766715457.714847,41771.000,4730,1,SF,1,100,3.0020
1766715458.047847,42104.000,4783,1,SF,1,100,2.9673
1766715458.447847,42504.000,4850,1,SF,1,100,2.9330
1766715458.714847,42771.000,4902,1,SF,1,100,2.8991
1766715459.047847,43104.000,4951,1,SF,1,100,2.8655
1766715459.447847,43504.000,5016,1,SF,1,100,2.8324
1766715459.713847,43770.000,5064,1,SF,1,100,2.7996
1766715460.047847,44104.000,5115,1,SF,1,100,2.7672
1766715460.380847,44437.000,5163,1,SF,1,100,2.7352
1766715460.780847,44837.000,5230,1,SF,1,100,4.7858
1766715461.047847,45104.000,5279,1,SF,1,100,4.7305
1766715461.380847,45437.000,5329,1,SF,1,100,6.7580
1766715461.780847,45837.000,5397,1,SF,1,100,6.6798
1766715462.113847,46170.000,5449,1,SF,1,100,8.6848
1766715462.380847,46437.000,5497,1,SF,1,100,8.5843
1766715462.713847,46770.000,5548,1,SF,1,100,8.4850
1766715463.113847,47170.000,5615,1,SF,1,100,8.3869
1766715463.380847,47437.000,5667,1,SF,1,100,8.2898
1766715463.713847,47770.000,5716,1,SF,1,100,8.1939
1766715464.113847,48170.000,5783,1,SF,1,100,8.0992
1766715464.380847,48437.000,5831,1,SF,1,100,8.0055
1766715464.713847,48770.000,5882,1,SF,1,100,7.9129
1766715465.046847,49103.000,5932,1,SF,1,100,7.8213
1766715465.446847,49503.000,5997,1,SF,1,100,7.7308
1766715465.713847,49770.000,6046,1,SF,1,100,7.6414
1766715466.046847,50103.000,6096,1,SF,1,100,7.5530
1766715466.446847,50503.000,6161,1,SF,1,100,7.4656
1766715466.713847,50770.000,6214,1,SF,1,100,9.4615
1766715467.046847,51103.000,6264,1,SF,1,100,11.4343
1766715467.379847,51436.000,6315,1,SF,1,100,11.3021
1766715467.779847,51836.000,6382,1,SF,1,100,11.1713
1766715468.046847,52103.000,6432,1,SF,1,100,11.0421
1766715468.379847,52436.000,6481,1,SF,1,100,10.9144
1766715468.779847,52836.000,6548,1,SF,1,100,10.7881
1766715469.046847,53103.000,6596,1,SF,1,100,10.6633
1766715469.379847,53436.000,6646,1,SF,1,100,10.5399
1766715469.712847,53769.000,6695,1,SF,1,100,10.4180
1766715470.112847,54169.000,6762,1,SF,1,100,10.2975
1766715470.379847,54436.000,6811,1,SF,1,100,10.1784
1766715470.712847,54769.000,6859,1,SF,1,100,10.0606
1766715471.112847,55169.000,6926,1,SF,1,100,9.9443
1766715471.379847,55436.000,6977,1,SF,1,100,9.8292
1766715471.712847,55769.000,7027,1,SF,1,100,11.7978
1766715472.046847,56103.000,7076,1,SF,1,100,11.6613
1766715472.445847,56502.000,7143,1,SF,1,100,11.5264
1766715472.712847,56769.000,7193,1,SF,1,100,11.3930
1766715473.045847,57102.000,7246,1,SF,1,100,13.3435
1766715473.445847,57502.000,7313,1,SF,1,100,13.1891
1766715473.779847,57836.000,7361,1,SF,1,100,13.0366
1766715474.045847,58102.000,7414,1,SF,1,100,14.9680
1766715474.379847,58436.000,7462,1,SF,1,100,14.7949
1766715474.779847,58836.000,7529,1,SF,1,100,14.6237
1766715475.045847,59102.000,7578,1,SF,1,100,14.4545
1766715475.379847,59436.000,7626,1,SF,1,100,14.2873
1766715475.778847,59835.000,7694,1,SF,1,100,14.1221
1766715476.112847,60169.000,7746,1,SF,1,100,13.9587
1766715476.378847,60435.000,7794,1,SF,1,100,13.7972
1766715476.712847,60769.000,7843,1,SF,1,100,13.6376
1766715477.112847,61169.000,7910,1,SF,1,100,13.4799
1766715477.378847,61435.000,7960,1,SF,1,100,13.3239
1766715477.712847,61769.000,8011,1,SF,1,100,15.2520
1766715478.112847,62169.000,8080,1,SF,1,100,15.0756
1766715478.445847,62502.000,8128,1,SF,1,100,14.9012
1766715478.712847,62769.000,8181,1,SF,1,100,16.8111
1766715479.045847,63102.000,8231,1,SF,1,100,18.6989
1766715479.445847,63502.000,8298,1,SF,1,100,18.4826
1766715479.711847,63768.000,8347,1,SF,1,100,18.2687
1766715480.045847,64102.000,8395,1,SF,1,100,18.0574
1766715480.445847,64502.000,8461,1,SF,1,100,17.8485
1766715480.778847,64835.000,8513,1,SF,1,100,17.6420
1766715481.045847,65102.000,8561,1,SF,1,100,17.4380
1766715481.378847,65435.000,8612,1,SF,1,100,19.3185
1766715481.778847,65835.000,8677,1,SF,1,100,19.0950
1766715482.045847,66102.000,8729,1,SF,1,100,18.8741
1766715482.378847,66435.000,8780,1,SF,1,100,18.6558
1766715482.778847,66835.000,8847,1,SF,1,100,18.4400
1766715483.044847,67101.000,8897,1,SF,1,100,18.2267
1766715483.378847,67435.000,8948,1,SF,1,100,18.0158
1766715483.711847,67768.000,8996,1,SF,1,100,17.8074
1766715484.111847,68168.000,9061,1,SF,1,100,17.6014
1766715484.378847,68435.000,9112,1,SF,1,100,17.3978
1766715484.711847,68768.000,9160,1,SF,1,100,17.1965
1766715485.111847,69168.000,9227,1,SF,1,100,19.0799
1766715485.378847,69435.000,9278,1,SF,1,100,18.8591
1766715485.711847,69768.000,9328,1,SF,1,100,18.6410
1766715486.044847,70101.000,9377,1,SF,1,100,18.4253
1766715486.444847,70501.000,9444,1,SF,1,100,20.2944
1766715486.711847,70768.000,9494,1,SF,1,100,20.0597
1766715487.044847,71101.000,9545,1,SF,1,100,19.8276
1766715487.444847,71501.000,9610,1,SF,1,100,19.5983
1766715487.711847,71768.000,9660,1,SF,1,100,21.4538
1766715488.044847,72101.000,9715,1,SF,1,100,21.2056
1766715488.377847,72434.000,9765,1,SF,1,100,20.9603
1766715488.777847,72834.000,9830,1,SF,1,100,20.7178
1766715489.044847,73101.000,9881,1,SF,1,100,22.5604
1766715489.377847,73434.000,9931,1,SF,1,100,22.2994
1766715489.777847,73834.000,9996,1,SF,1,100,22.0415
1766715490.044847,74101.000,10049,1,SF,1,100,23.8688
1766715490.377847,74434.000,10097,1,SF,1,100,23.5926
1766715490.710847,74767.000,10148,1,SF,1,100,23.3197
1766715491.110847,75167.000,10213,1,SF,1,100,23.0500
1766715491.377847,75434.000,10265,1,SF,1,100,24.8656
1766715491.710847,75767.000,10316,1,SF,1,100,24.5779
1766715492.110847,76167.000,10383,1,SF,1,100,24.2936
1766715492.377847,76434.000,10431,1,SF,1,100,24.0126
1766715492.710847,76767.000,10481,1,SF,1,100,23.7348
1766715493.043847,77100.000,10534,1,SF,1,100,23.4602
1766715493.443847,77500.000,10599,1,SF,1,100,23.1888
1766715493.710847,77767.000,10648,1,SF,1,100,22.9206
1766715494.043847,78100.000,10696,1,SF,1,100,22.6554
1766715494.443847,78500.000,10763,1,SF,1,100,22.3934
1766715494.710847,78767.000,10814,1,SF,1,100,22.1343
1766715495.043847,79100.000,10862,1,SF,1,100,21.8783
1766715495.377847,79434.000,10911,1,SF,1,100,21.6252
1766715495.776847,79833.000,10978,1,SF,1,100,21.3750
1766715496.043847,80100.000,11028,1,SF,1,100,21.1277
1766715496.376847,80433.000,11077,1,SF,1,100,20.8833
1766715496.776847,80833.000,11142,1,SF,1,100,20.6418
1766715497.043847,81100.000,11192,1,SF,1,100,20.4030
1766715497.376847,81433.000,11242,1,SF,1,100,20.1669
1766715497.710847,81767.000,11291,1,SF,1,100,19.9337
1766715498.110847,82167.000,11360,1,SF,1,100,19.7031
1766715498.376847,82433.000,11411,1,SF,1,100,19.4751
1766715498.710847,82767.000,11459,1,SF,1,100,19.2498
1766715499.109847,83166.000,11526,1,SF,1,100,19.0272
1766715499.376847,83433.000,11577,1,SF,1,100,18.8070
1766715499.709847,83766.000,11625,1,SF,1,100,18.5895
1766715500.043847,84100.000,11674,1,SF,1,100,18.3744
1766715500.443847,84500.000,11741,1,SF,1,100,18.1619
1766715500.709847,84766.000,11791,1,SF,1,100,17.9518
1766715501.043847,85100.000,11840,1,SF,1,100,17.7441
1766715501.443847,85500.000,11907,1,SF,1,100,17.5389
1766715501.709847,85766.000,11955,1,SF,1,100,17.3360
1766715502.043847,86100.000,12008,1,SF,1,100,17.1354
1766715502.376847,86433.000,12058,1,SF,1,100,16.9372
1766715502.776847,86833.000,12125,1,SF,1,100,16.7413
1766715503.042847,87099.000,12174,1,SF,1,100,16.5476
1766715503.376847,87433.000,12226,1,SF,1,100,18.4384
1766715503.776847,87833.000,12294,1,SF,1,100,20.3074
1766715504.042847,88099.000,12344,1,SF,1,100,20.0725
1766715504.376847,88433.000,12392,1,SF,1,100,19.8403
1766715504.709847,88766.000,12443,1,SF,1,100,19.6108
1766715505.109847,89166.000,12508,1,SF,1,100,19.3839
1766715505.376847,89433.000,12558,1,SF,1,100,19.1597
1766715505.709847,89766.000,12609,1,SF,1,100,18.9380
1766715506.109847,90166.000,12674,1,SF,1,100,18.7189
1766715506.442847,90499.000,12722,1,SF,1,100,18.5024
1766715506.709847,90766.000,12773,1,SF,1,100,18.2884
1766715507.042847,91099.000,12823,1,SF,1,100,18.0768
1766715507.442847,91499.000,12888,1,SF,1,100,17.8677
1766715507.709847,91766.000,12937,1,SF,1,100,17.6610
1766715508.042847,92099.000,12987,1,SF,1,100,17.4567
1766715508.442847,92499.000,13055,1,SF,1,100,17.2548
1766715508.775847,92832.000,13105,1,SF,1,100,17.0552
1766715509.042847,93099.000,13153,1,SF,1,100,16.8579
1766715509.375847,93432.000,13204,1,SF,1,100,16.6628
1766715509.775847,93832.000,13269,1,SF,1,100,16.4701
1766715510.042847,94099.000,13319,1,SF,1,100,16.2796
1766715510.375847,94432.000,13368,1,SF,1,100,16.0912
1766715510.775847,94832.000,13435,1,SF,1,100,15.9051
1766715511.108847,95165.000,13483,1,SF,1,100,15.7211
1766715511.375847,95432.000,13534,1,SF,1,100,15.5392
1766715511.708847,95765.000,13582,1,SF,1,100,15.3595
1766715512.108847,96165.000,13649,1,SF,1,100,15.1818
1766715512.375847,96432.000,13698,1,SF,1,100,15.0062
1766715512.708847,96765.000,13746,1,SF,1,100,14.8326
1766715513.108847,97165.000,13816,1,SF,1,100,14.6610
1766715513.441847,97498.000,13866,1,SF,1,100,14.4914
1766715513.708847,97765.000,13914,1,SF,1,100,14.3238
1766715514.041847,98098.000,13963,1,SF,1,100,14.1581
1766715514.441847,98498.000,14030,1,SF,1,100,13.9943
1766715514.708847,98765.000,14080,1,SF,1,100,13.8324
1766715515.041847,99098.000,14129,1,SF,1,100,13.6724
1766715515.441847,99498.000,14196,1,SF,1,100,13.5142
1766715515.774847,99831.000,14244,1,SF,1,100,13.3579
1766715516.041847,100098.000,14295,1,SF,1,100,13.2034
1766715516.374847,100431.000,14343,1,SF,1,100,13.0506
1766715516.774847,100831.000,14410,1,SF,1,100,12.8997
1766715517.041847,101098.000,14459,1,SF,1,100,12.7504
1766715517.374847,101431.000,14509,1,SF,1,100,12.6029
1766715517.774847,101831.000,14577,1,SF,1,100,12.4571
1766715518.108847,102165.000,14627,1,SF,1,100,12.3130
1766715518.374847,102431.000,14677,1,SF,1,100,12.1706
1766715518.708847,102765.000,14726,1,SF,1,100,12.0298
1766715519.107847,103164.000,14791,1,SF,1,100,11.8906
1766715519.374847,103431.000,14841,1,SF,1,100,11.7531
1766715519.707847,103764.000,14892,1,SF,1,100,11.6171
1766715520.107847,104164.000,14959,1,SF,1,100,11.4827
1766715520.441847,104498.000,15007,1,SF,1,100,11.3499
1766715520.707847,104764.000,15058,1,SF,1,100,11.2186
1766715521.041847,105098.000,15108,1,SF,1,100,11.0888
1766715521.441847,105498.000,15173,1,SF,1,100,10.9606
1766715521.707847,105764.000,15222,1,SF,1,100,10.8338
1766715522.041847,106098.000,15271,1,SF,1,100,10.7084
1766715522.374847,106431.000,15323,1,SF,1,100,10.5846
1766715522.774847,106831.000,15390,1,SF,1,100,10.4621
1766715523.040847,107097.000,15438,1,SF,1,100,10.3411
1766715523.374847,107431.000,15489,1,SF,1,100,10.2215
1766715523.774847,107831.000,15556,1,SF,1,100,10.1032
1766715524.040847,108097.000,15606,1,SF,1,100,9.9864
1766715524.374847,108431.000,15655,1,SF,1,100,9.8708
1766715524.707847,108764.000,15703,1,SF,1,100,9.7566
1766715525.107847,109164.000,15770,1,SF,1,100,9.6438
1766715525.374847,109431.000,15821,1,SF,1,100,9.5322
1766715525.707847,109764.000,15869,1,SF,1,100,9.4219
1766715526.107847,110164.000,15936,1,SF,1,100,9.3130
1766715526.373847,110430.000,15985,1,SF,1,100,9.2052
1766715526.707847,110764.000,16035,1,SF,1,100,9.0987
1766715527.040847,111097.000,16084,1,SF,1,100,8.9935
1766715527.440847,111497.000,16153,1,SF,1,100,10.9717
1766715527.707847,111764.000,16201,1,SF,1,100,10.8448
1766715528.040847,112097.000,16252,1,SF,1,100,10.7193
1766715528.440847,112497.000,16320,1,SF,1,100,10.5953
1766715528.773847,112830.000,16369,1,SF,1,100,10.4728
1766715529.040847,113097.000,16418,1,SF,1,100,10.3516
1766715529.373847,113430.000,16466,1,SF,1,100,10.2319
1766715529.773847,113830.000,16533,1,SF,1,100,10.1135
1766715530.040847,114097.000,16584,1,SF,1,100,9.9965
1766715530.373847,114430.000,16632,1,SF,1,100,9.8809
1766715530.773847,114830.000,16697,1,SF,1,100,9.7666
1766715531.106847,115163.000,16748,1,SF,1,100,9.6536
1766715531.373847,115430.000,16798,1,SF,1,100,9.5419
1766715531.706847,115763.000,16847,1,SF,1,100,9.4315
1766715532.106847,116163.000,16912,1,SF,1,100,9.3224
1766715532.373847,116430.000,16962,1,SF,1,100,9.2146
1766715532.706847,116763.000,17011,1,SF,1,100,9.1080
1766715533.106847,117163.000,17079,1,SF,1,100,9.0026
1766715533.439847,117496.000,17130,1,SF,1,100,8.8985
1766715533.706847,117763.000,17179,1,SF,1,100,8.7955
1766715534.039847,118096.000,17227,1,SF,1,100,8.6938
1766715534.439847,118496.000,17292,1,SF,1,100,8.5932
1766715534.706847,118763.000,17345,1,SF,1,100,8.4938
1766715535.039847,119096.000,17393,1,SF,1,100,8.3956
1766715535.439847,119496.000,17458,1,SF,1,100,8.2984
1766715535.772847,119829.000,17507,1,SF,1,100,8.2024
1766715536.039847,120096.000,17559,1,SF,1,100,8.1075
1766715536.372847,120429.000,17608,1,SF,1,100,8.0138
1766715536.772847,120829.000,17673,1,SF,1,100,7.9211
1766715537.039847,121096.000,17721,1,SF,1,100,7.8294
1766715537.372847,121429.000,17772,1,SF,1,100,7.7389
1766715537.772847,121829.000,17840,1,SF,1,100,7.6493
1766715538.106847,122163.000,17889,1,SF,1,100,7.5608
1766715538.372847,122429.000,17938,1,SF,1,100,7.4734
1766715538.706847,122763.000,17988,1,SF,1,100,7.3869
1766715539.105847,123162.000,18053,1,SF,1,100,7.3015
1766715539.372847,123429.000,18104,1,SF,1,100,7.2170
1766715539.705847,123762.000,18154,1,SF,1,100,7.1335
1766715540.039847,124096.000,18203,1,SF,1,100,7.0510
1766715540.439847,124496.000,18268,1,SF,1,100,6.9694
1766715540.705847,124762.000,18318,1,SF,1,100,6.8888
1766715541.039847,125096.000,18369,1,SF,1,100,6.8091
1766715541.439847,125496.000,18434,1,SF,1,100,6.7304
1766715541.705847,125762.000,18482,1,SF,1,100,6.6525
1766715542.039847,126096.000,18532,1,SF,1,100,6.5755
1766715542.372847,126429.000,18583,1,SF,1,100,6.4995
1766715542.772847,126829.000,18650,1,SF,1,100,6.4243
1766715543.038847,127095.000,18699,1,SF,1,100,6.3500
1766715543.372847,127429.000,18747,1,SF,1,100,6.2765
1766715543.772847,127829.000,18814,1,SF,1,100,6.2039
1766715544.038847,128095.000,18865,1,SF,1,100,6.1321
1766715544.372847,128429.000,18913,1,SF,1,100,6.0612
