LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1766715434.710847,18767,1006,1,SR,1,100,0.066667
1766715457.180847,41237,4681,1,SR,1,100,0.133333
1766715460.447847,44504,5213,1,SR,1,100,0.133333
1766715461.047847,45104,5328,1,SR,1,100,0.200000
1766715461.647847,45704,5415,1,SR,1,100,0.133333
1766715466.313847,50370,6196,1,SR,1,100,0.266667
1766715466.846847,50903,6263,1,SR,1,100,0.133333
1766715471.379847,55436,7026,1,SR,1,100,0.266667
1766715472.312847,56369,7212,1,SR,1,100,0.466667
1766715473.512847,57569,7363,1,SR,1,100,0.200000
1766715477.246847,61303,8010,1,SR,1,100,0.333333
1766715478.379847,62436,8163,1,SR,1,100,0.200000
1766715478.712847,62769,8214,1,SR,1,100,0.133333
1766715480.912847,64969,8611,1,SR,1,100,0.400000
1766715484.711847,68768,9226,1,SR,1,100,0.266667
1766715485.844847,69901,9412,1,SR,1,100,0.333333
1766715486.844847,70901,9628,1,SR,1,100,0.600000
1766715488.111847,72168,9849,1,SR,1,100,0.666667
1766715489.444847,73501,10031,1,SR,1,100,0.466667
1766715490.444847,74501,10248,1,SR,1,100,0.733333
1766715503.110847,87167,12211,1,SR,1,100,0.066667
1766715503.310847,87367,12261,1,SR,1,100,0.133333
1766715527.240847,111297,16152,1,SR,1,100,0.066667
1766715561.837847,145894,21799,1,SR,1,100,0.133333
1766715574.969847,159026,23939,1,SR,1,100,0.066667
1766715579.102847,163159,24596,1,SR,1,100,0.066667
1766715588.774847,172831,26185,1,SR,1,100,0.066667
1766715621.204847,205261,31456,1,SR,1,100,0.133333
1766715625.410847,209467,32136,1,SR,1,100,0.066667
1766715639.435847,223492,34417,1,SR,1,100,0.066667
1766715650.768847,234825,36252,1,SR,1,100,0.066667
1766715662.920847,246977,38218,1,SR,1,100,0.066667
1766715663.253847,247310,38271,1,SR,1,100,0.066667
1766715670.059847,254116,39371,1,SR,1,100,0.066667
1766715670.392847,254449,39440,1,SR,1,100,0.066667
1766715673.059847,257116,39871,1,SR,1,100,0.066667
1766715676.932847,260989,40496,1,SR,1,100,0.066667
1766715680.065847,264122,41011,1,SR,1,100,0.066667
1766715684.204847,268261,41675,1,SR,1,100,0.066667
1766715685.471847,269528,41890,1,SR,1,100,0.066667
1766715707.023847,291080,45396,1,SR,1,100,0.066667
1766715708.155847,292212,45581,1,SR,1,100,0.066667
1766715710.755847,294812,46011,1,SR,1,100,0.066667
1766715713.088847,297145,46393,1,SR,1,100,0.066667
1766715727.955847,312012,48804,1,SR,1,100,0.066667
