LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1766772422.027717,58568,7650,1,SA,1,100,0.060614
1766773887.990953,59568,7767,1,SA,1,100,0.002627
1766774377.622674,59902,7821,1,SA,1,100,0.078012
1766775647.146836,60768,8029,1,SA,1,100,0.109672
1766778382.634234,62634,8298,1,SA,1,100,0.071367
1766783171.936126,65901,8798,1,SA,1,100,0.010573
1766792455.881299,72234,9846,1,SA,1,100,0.064027
1766793139.020167,72700,9981,1,SA,1,100,0.096377
1766796755.551470,75167,10315,1,SA,1,100,0.004916
1766803985.682149,80099,11162,1,SA,1,100,0.028816
1766804768.506517,80633,11246,1,SA,1,100,0.081989
1766806038.030679,81499,11382,1,SA,1,100,0.012045
1766820304.784891,91231,13010,1,SA,1,100,0.248978
1766823628.123547,93498,13309,1,SA,1,100,0.008699
1766829686.949601,97631,13975,1,SA,1,100,0.000243
1766829980.142248,97831,14044,1,SA,1,100,0.092001
1766830859.720190,98431,14145,1,SA,1,100,0.408341
1766834573.005067,100964,14525,1,SA,1,100,0.025632
1766835159.390361,101364,14649,1,SA,1,100,0.247557
1766839067.648348,104030,15076,1,SA,1,100,0.076723
1766839947.226289,104630,15191,1,SA,1,100,0.159695
1766842097.794356,106097,15393,1,SA,1,100,0.029051
1766848743.005705,110630,16124,1,SA,1,100,0.351788
1766849134.417889,110897,16177,1,SA,1,100,0.256192
1766849621.117683,111229,16213,1,SA,1,100,0.120168
1766852847.702765,113430,16618,1,SA,1,100,0.078105
1766858416.897099,117229,17251,1,SA,1,100,0.230142
1766860762.438276,118829,17500,1,SA,1,100,0.451919
1766862716.567270,120162,17684,1,SA,1,100,0.052779
1766865257.081558,121895,18004,1,SA,1,100,0.118772
1766867602.622735,123495,18340,1,SA,1,100,0.159596
1766868873.612860,124362,18425,1,SA,1,100,0.051719
1766872000.512443,126495,18759,1,SA,1,100,0.041384
1766876103.743540,129294,19240,1,SA,1,100,0.064814
1766877179.760555,130028,19341,1,SA,1,100,0.274191
1766879916.713917,131895,19631,1,SA,1,100,0.005377
1766880306.660137,132161,19698,1,SA,1,100,0.005886
1766881479.430726,132961,19815,1,SA,1,100,0.168494
1766884116.698587,134760,20102,1,SA,1,100,0.004759
1766885877.320434,135961,20301,1,SA,1,100,0.180609
1766887929.668964,137361,20553,1,SA,1,100,0.175349
1766890078.771068,138827,20807,1,SA,1,100,0.188074
1766892032.900061,140160,21007,1,SA,1,100,0.145182
1766893498.863297,141160,21191,1,SA,1,100,0.022515
1766898873.084520,144826,21772,1,SA,1,100,0.031138
1766899166.277167,145026,21857,1,SA,1,100,0.369802
1766903367.727802,147892,22274,1,SA,1,100,0.026352
1766903857.359522,148226,22326,1,SA,1,100,0.290040
1766914705.487468,155626,23533,1,SA,1,100,0.016007
1766917147.782219,157292,23832,1,SA,1,100,0.104431
1766919981.489154,159225,24151,1,SA,1,100,0.194361
1766925453.929914,162958,24749,1,SA,1,100,0.514691
1766925843.876134,163224,24785,1,SA,1,100,0.243443
1766927114.866260,164091,24922,1,SA,1,100,0.109815
1766928580.829496,165091,25121,1,SA,1,100,0.188020
1766933270.445888,168290,25623,1,SA,1,100,0.374667
1766936788.757654,170690,26036,1,SA,1,100,0.006137
1766937278.389374,171024,26090,1,SA,1,100,0.425278
1766937961.528243,171490,26159,1,SA,1,100,0.216567
1766940112.096310,172957,26396,1,SA,1,100,0.029920
1766942359.417950,174490,26649,1,SA,1,100,0.004964
1766944508.520054,175956,26923,1,SA,1,100,0.072027
1766948321.490431,178557,27353,1,SA,1,100,0.153397
1766949199.602409,179156,27422,1,SA,1,100,0.000731
1766950763.785182,180223,27638,1,SA,1,100,0.168925
1766953499.272580,182089,27905,1,SA,1,100,0.137129
1766954770.262706,182956,28075,1,SA,1,100,0.135766
1766955844.813757,183689,28193,1,SA,1,100,0.052695
1766959471.606803,186163,28594,1,SA,1,100,0.014671
1766966799.957019,191162,29377,1,SA,1,100,0.124819
1766970708.215006,193828,29841,1,SA,1,100,0.150838
1766971489.573411,194361,29910,1,SA,1,100,0.058094
1766976180.655766,197561,30461,1,SA,1,100,0.096075
1766977060.233708,198161,30563,1,SA,1,100,0.068540
1766981458.123415,201161,31030,1,SA,1,100,0.096049
1766984486.803461,203227,31379,1,SA,1,100,0.094210
1766985073.188755,203627,31448,1,SA,1,100,0.079459
1766985854.547160,204160,31532,1,SA,1,100,0.025665
1766991337.249662,207900,32166,1,SA,1,100,0.049104
1766994952.315002,210366,32581,1,SA,1,100,0.040829
1767000522.975298,214166,33194,1,SA,1,100,0.004525
1767001598.992313,214900,33311,1,SA,1,100,0.041174
1767004920.865006,217166,33692,1,SA,1,100,0.007086
1767007852.791478,219166,33992,1,SA,1,100,0.041437
1767011283.145450,221506,34391,1,SA,1,100,0.014623
1767018035.372115,226112,35152,1,SA,1,100,0.003066
1767021259.025270,228311,35468,1,SA,1,100,0.001695
1767023214.620227,229645,35733,1,SA,1,100,0.050445
1767024972.310147,230844,35919,1,SA,1,100,0.025884
1767031129.355738,235044,36615,1,SA,1,100,0.057938
1767034744.421077,237510,37030,1,SA,1,100,0.102993
1767039730.162043,240911,37544,1,SA,1,100,0.001326
1767040315.081374,241310,37616,1,SA,1,100,0.171113
1767040803.247132,241643,37666,1,SA,1,100,0.074634
1767042170.990831,242576,37815,1,SA,1,100,0.083512
1767042464.183478,242776,37866,1,SA,1,100,0.079995
1767045787.522134,245043,38264,1,SA,1,100,0.031820
1767046667.100075,245643,38331,1,SA,1,100,0.029653
1767052334.513945,249509,39025,1,SA,1,100,0.007726
1767058686.532646,253842,39668,1,SA,1,100,0.072611
1767059761.083698,254575,39804,1,SA,1,100,0.023371
1767068067.231393,260241,40709,1,SA,1,100,0.001928
1767075210.870242,265114,41538,1,SA,1,100,0.170715
1767076490.656147,265987,41676,1,SA,1,100,0.120358
1767089389.666659,274786,43103,1,SA,1,100,0.036073
1767093983.995441,277920,43602,1,SA,1,100,0.002574
1767096231.317081,279453,43868,1,SA,1,100,0.001821
1767099367.012443,281592,44238,1,SA,1,100,0.001319
1767100539.783032,282392,44322,1,SA,1,100,0.001807
1767110822.049168,289406,45503,1,SA,1,100,0.006911
1767113957.744530,291545,45852,1,SA,1,100,0.007065
1767127550.155653,300817,47361,1,SA,1,100,0.001381
1767130287.109015,302684,47662,1,SA,1,100,0.002367
1767133608.981708,304950,48026,1,SA,1,100,0.001451
1767139384.876857,308890,48655,1,SA,1,100,0.000160
1767154238.016363,319022,50326,1,SA,1,100,0.001991
1767156790.258357,320763,50607,1,SA,1,100,0.000138
1767169306.652465,329301,51998,1,SA,1,100,0.001717
1767171164.027885,330568,52218,1,SA,1,100,0.001308
1767174584.120115,332901,52585,1,SA,1,100,0.003242
1767175572.179335,333575,52685,1,SA,1,100,0.001355
1767178306.200770,335440,52968,1,SA,1,100,0.000353
1767206265.051606,354512,56125,1,SA,1,100,0.000298
1767241464.294863,378523,60093,1,SA,1,100,0.001162
1767244396.221335,380523,60391,1,SA,1,100,0.019401
1767248402.698859,383256,60830,1,SA,1,100,0.083558
1767250746.774073,384855,61097,1,SA,1,100,0.112633
