LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1766769578.059039,56628.000,7243,1,T1,1,100,23.746
1766769773.032150,56761.000,7275,1,T1,1,100,23.961
1766769968.005260,56894.000,7292,1,T1,1,100,23.877
1766770164.444334,57028.000,7308,1,T1,1,100,23.876
1766770359.417444,57161.000,7340,1,T1,1,100,23.911
1766770554.390554,57294.000,7357,1,T1,1,100,23.926
1766770750.829628,57428.000,7373,1,T1,1,100,23.897
1766770945.802738,57561.000,7405,1,T1,1,100,23.991
1766771142.241812,57695.000,7422,1,T1,1,100,23.890
1766771337.214922,57828.000,7439,1,T1,1,100,23.917
1766771532.188033,57961.000,7456,1,T1,1,100,23.964
1766771728.627106,58095.000,7489,1,T1,1,100,24.020
1766771923.600217,58228.000,7506,1,T1,1,100,24.044
1766772118.573327,58361.000,7523,1,T1,1,100,24.125
1766772313.546437,58494.000,7555,1,T1,1,100,23.983
1766772509.985511,58628.000,7571,1,T1,1,100,23.886
1766772704.958621,58761.000,7588,1,T1,1,100,23.986
1766772899.931732,58894.000,7620,1,T1,1,100,24.030
1766773096.370805,59028.000,7636,1,T1,1,100,24.048
1766773291.343916,59161.000,7658,1,T1,1,100,24.056
1766773486.317026,59294.000,7689,1,T1,1,100,24.024
1766773682.756100,59428.000,7705,1,T1,1,100,23.975
1766773877.729210,59561.000,7725,1,T1,1,100,24.131
1766774072.702320,59694.000,7756,1,T1,1,100,24.092
1766774269.141394,59828.000,7775,1,T1,1,100,24.004
1766774464.114504,59961.000,7794,1,T1,1,100,24.002
1766774659.087615,60094.000,7810,1,T1,1,100,24.107
1766774855.526688,60228.000,7849,1,T1,1,100,24.082
1766775050.499799,60361.000,7866,1,T1,1,100,24.106
1766775245.472909,60494.000,7883,1,T1,1,100,24.081
1766775440.446019,60627.000,7914,1,T1,1,100,24.142
1766775636.885093,60761.000,7931,1,T1,1,100,24.203
1766775831.858203,60894.000,7950,1,T1,1,100,24.159
1766776026.831314,61027.000,7967,1,T1,1,100,24.140
1766776223.270387,61161.000,7999,1,T1,1,100,24.273
1766776418.243498,61294.000,8017,1,T1,1,100,24.189
1766776613.216608,61427.000,8036,1,T1,1,100,24.188
1766776809.655682,61561.000,8068,1,T1,1,100,24.330
1766777004.628792,61694.000,8086,1,T1,1,100,24.249
1766777199.601902,61827.000,8104,1,T1,1,100,24.356
1766777396.040976,61961.000,8135,1,T1,1,100,24.402
1766777591.014086,62094.000,8151,1,T1,1,100,24.351
1766777785.987197,62227.000,8169,1,T1,1,100,24.294
1766777982.426270,62361.000,8200,1,T1,1,100,24.411
1766778177.399381,62494.000,8219,1,T1,1,100,24.461
1766778372.372491,62627.000,8236,1,T1,1,100,24.377
1766778568.811565,62761.000,8270,1,T1,1,100,24.411
1766778763.784675,62894.000,8286,1,T1,1,100,24.426
1766778958.757786,63027.000,8305,1,T1,1,100,24.397
1766779155.196859,63161.000,8322,1,T1,1,100,24.349
1766779350.169970,63294.000,8353,1,T1,1,100,24.435
1766779545.143080,63427.000,8370,1,T1,1,100,24.472
1766779741.582154,63561.000,8387,1,T1,1,100,24.452
