LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1766888543.477483,47360.000,5783,1,EA,1,100,0.035361
1766888449.389428,47426.000,5797,1,EA,1,100,0.035051
1766888354.588585,47492.500,5818,2,EA,1,100,0.034742
1766888259.787741,47559.000,5818,2,EA,1,100,0.034491
1766888164.274109,47626.000,5834,2,EA,1,100,0.034329
1766888068.760478,47693.000,5834,2,EA,1,100,0.034298
1766887973.246846,47760.000,5851,1,EA,1,100,0.034661
1766887878.446002,47826.500,5866,2,EA,1,100,0.035198
1766887783.645159,47893.000,5866,2,EA,1,100,0.035516
1766887688.131527,47960.000,5883,1,EA,1,100,0.035521
1766887593.330683,48026.500,5899,2,EA,1,100,0.035762
1766887498.529840,48093.000,5899,2,EA,1,100,0.036104
1766887403.016208,48160.000,5919,1,EA,1,100,0.036092
1766887308.215365,48226.500,5935,2,EA,1,100,0.035942
1766887213.414521,48293.000,5935,2,EA,1,100,0.035716
1766887117.900889,48360.000,5952,1,EA,1,100,0.035663
1766887023.100046,48426.500,5969,2,EA,1,100,0.035701
1766886928.299202,48493.000,5969,2,EA,1,100,0.035793
1766886832.785571,48560.000,5988,1,EA,1,100,0.035839
1766886737.984727,48626.500,6002,2,EA,1,100,0.035338
1766886643.183883,48693.000,6002,2,EA,1,100,0.032940
1766886549.095828,48759.000,6019,1,EA,1,100,0.030887
1766886453.582196,48826.000,6036,2,EA,1,100,0.031258
1766886358.068565,48893.000,6036,2,EA,1,100,0.030163
1766886263.980510,48959.000,6053,1,EA,1,100,0.030105
1766886168.466878,49026.000,6067,2,EA,1,100,0.030105
1766886072.953246,49093.000,6067,2,EA,1,100,0.030106
1766885978.865191,49159.000,6085,1,EA,1,100,0.030105
1766885883.351559,49226.000,6101,2,EA,1,100,0.030105
1766885787.837927,49293.000,6101,2,EA,1,100,0.030109
1766885692.324295,49360.000,6118,1,EA,1,100,0.032865
1766885597.523452,49426.500,6136,2,EA,1,100,0.031581
1766885502.722608,49493.000,6136,2,EA,1,100,0.030121
1766885408.634553,49559.000,6152,1,EA,1,100,0.030105
1766885313.120921,49626.000,6168,2,EA,1,100,0.030105
1766885217.607290,49693.000,6168,2,EA,1,100,0.030106
1766885122.093658,49760.000,6185,1,EA,1,100,0.030106
1766885027.292814,49826.500,6201,2,EA,1,100,0.030105
1766884932.491971,49893.000,6201,2,EA,1,100,0.030105
1766884837.691127,49959.500,6217,2,EA,1,100,0.030105
1766884742.890284,50026.000,6217,2,EA,1,100,0.030105
1766884647.376652,50093.000,6235,1,EA,1,100,0.030105
1766884552.575808,50159.500,6253,2,EA,1,100,0.030225
1766884457.774965,50226.000,6253,2,EA,1,100,0.034773
1766884362.261333,50293.000,6269,1,EA,1,100,0.033386
1766884267.460490,50359.500,6284,2,EA,1,100,0.030218
1766884172.659646,50426.000,6284,2,EA,1,100,0.030105
