LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1764949826.311700,1407313.000,5779,4,EM,1,100,RS
1765596064.416577,953996.000,5779,4,EM,1,100,RB
1766242302.521454,500679.000,5779,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766888540.626330,47362.000,5779,4,EM,1,100,PS
1766888459.368464,47419.000,5813,4,EM,1,100,RS
1766888378.110599,47476.000,5813,4,EM,1,100,RB
1766888296.852733,47533.000,5813,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766888215.594867,47590.000,5813,4,EM,1,100,PS
1766888143.959643,47640.250,5847,4,EM,1,100,RS
1766888072.324419,47690.500,5847,4,EM,1,100,RB
1766888000.689195,47740.750,5847,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766887929.053971,47791.000,5847,4,EM,1,100,PS
1766887857.062353,47841.500,5879,4,EM,1,100,RS
1766887785.070735,47892.000,5879,4,EM,1,100,RB
1766887713.079117,47942.500,5879,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766887641.087499,47993.000,5879,4,EM,1,100,PS
1766887569.452276,48043.250,5912,4,EM,1,100,RS
1766887497.817052,48093.500,5912,4,EM,1,100,RB
1766887426.181828,48143.750,5912,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766887354.546604,48194.000,5912,4,EM,1,100,PS
1766887282.911380,48244.250,5948,4,EM,1,100,RS
1766887211.276156,48294.500,5948,4,EM,1,100,RB
1766887139.640932,48344.750,5948,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766887068.005708,48395.000,5948,4,EM,1,100,PS
1766886996.370485,48445.250,5982,4,EM,1,100,RS
1766886924.735261,48495.500,5982,4,EM,1,100,RB
1766886853.100037,48545.750,5982,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766886781.464813,48596.000,5982,4,EM,1,100,PS
1766886709.829589,48646.250,6015,4,EM,1,100,RS
1766886638.194366,48696.500,6015,4,EM,1,100,RB
1766886566.559142,48746.750,6015,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766886494.923918,48797.000,6015,4,EM,1,100,PS
1766886423.288694,48847.250,6049,4,EM,1,100,RS
1766886351.653470,48897.500,6049,4,EM,1,100,RB
1766886280.018246,48947.750,6049,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766886208.383022,48998.000,6049,4,EM,1,100,PS
1766886135.678616,49049.000,6080,4,EM,1,100,RS
1766886062.974210,49100.000,6080,4,EM,1,100,RB
1766885990.269804,49151.000,6080,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766885917.565397,49202.000,6080,4,EM,1,100,PS
1766885846.286567,49252.000,6114,4,EM,1,100,RS
1766885775.007738,49302.000,6114,4,EM,1,100,RB
1766885703.728908,49352.000,6114,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766885632.450078,49402.000,6114,4,EM,1,100,PS
1766885560.814854,49452.250,6148,4,EM,1,100,RS
1766885489.179631,49502.500,6148,4,EM,1,100,RB
1766885417.544407,49552.750,6148,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766885345.909183,49603.000,6148,4,EM,1,100,PS
1766885274.273959,49653.250,6181,4,EM,1,100,RS
1766885202.638735,49703.500,6181,4,EM,1,100,RB
1766885131.003511,49753.750,6181,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766885059.368288,49804.000,6181,4,EM,1,100,PS
1766884987.376670,49854.500,6213,4,EM,1,100,RS
1766884915.385051,49905.000,6213,4,EM,1,100,RB
1766884843.393434,49955.500,6213,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766884771.401816,50006.000,6213,4,EM,1,100,PS
1766884700.122986,50056.000,6248,4,EM,1,100,RS
1766884628.844156,50106.000,6248,4,EM,1,100,RB
1766884557.565326,50156.000,6248,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766884486.286497,50206.000,6248,4,EM,1,100,PS
1766884414.651273,50256.250,6280,4,EM,1,100,RS
1766884343.016049,50306.500,6280,4,EM,1,100,RB
1766884271.380825,50356.750,6280,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766884199.745601,50407.000,6280,4,EM,1,100,PS
1766884128.110378,50457.250,6314,4,EM,1,100,RS
1766884056.475154,50507.500,6314,4,EM,1,100,RB
1766883984.839930,50557.750,6314,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766883913.204706,50608.000,6314,4,EM,1,100,PS
1766883841.569482,50658.250,6347,4,EM,1,100,RS
1766883769.934258,50708.500,6347,4,EM,1,100,RB
1766883698.299034,50758.750,6347,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766883626.663810,50809.000,6347,4,EM,1,100,PS
1766883553.246616,50860.500,6381,4,EM,1,100,RS
1766883479.829421,50912.000,6381,4,EM,1,100,RB
1766883406.412227,50963.500,6381,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766883332.995032,51015.000,6381,4,EM,1,100,PS
1766883261.359808,51065.250,6414,4,EM,1,100,RS
1766883189.724585,51115.500,6414,4,EM,1,100,RB
1766883118.089361,51165.750,6414,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766883046.454137,51216.000,6414,4,EM,1,100,PS
1766882974.818913,51266.250,6450,4,EM,1,100,RS
1766882903.183689,51316.500,6450,4,EM,1,100,RB
1766882831.548465,51366.750,6450,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766882759.913241,51417.000,6450,4,EM,1,100,PS
1766882688.278018,51467.250,6482,4,EM,1,100,RS
1766882616.642794,51517.500,6482,4,EM,1,100,RB
1766882545.007570,51567.750,6482,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766882473.372346,51618.000,6482,4,EM,1,100,PS
1766882401.380728,51668.500,6515,4,EM,1,100,RS
1766882329.389110,51719.000,6515,4,EM,1,100,RB
1766882257.397492,51769.500,6515,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766882185.405874,51820.000,6515,4,EM,1,100,PS
1766882113.770650,51870.250,6550,4,EM,1,100,RS
1766882042.135426,51920.500,6550,4,EM,1,100,RB
1766881970.500202,51970.750,6550,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766881898.864979,52021.000,6550,4,EM,1,100,PS
1766881827.229755,52071.250,6582,4,EM,1,100,RS
1766881755.594531,52121.500,6582,4,EM,1,100,RB
1766881683.959307,52171.750,6582,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766881612.324083,52222.000,6582,4,EM,1,100,PS
1766881540.688859,52272.250,6615,4,EM,1,100,RS
1766881469.053635,52322.500,6615,4,EM,1,100,RB
1766881397.418412,52372.750,6615,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766881325.783188,52423.000,6615,4,EM,1,100,PS
1766881247.732869,52477.750,6653,4,EM,1,100,RS
1766881169.682551,52532.500,6653,4,EM,1,100,RB
1766881091.632232,52587.250,6653,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766881013.581914,52642.000,6653,4,EM,1,100,PS
1766880941.946690,52692.250,6686,4,EM,1,100,RS
1766880870.311466,52742.500,6686,4,EM,1,100,RB
1766880798.676242,52792.750,6686,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766880727.041018,52843.000,6686,4,EM,1,100,PS
1766880655.405794,52893.250,6718,4,EM,1,100,RS
1766880583.770571,52943.500,6718,4,EM,1,100,RB
1766880512.135347,52993.750,6718,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766880440.500123,53044.000,6718,4,EM,1,100,PS
1766880368.864899,53094.250,6752,4,EM,1,100,RS
1766880297.229675,53144.500,6752,4,EM,1,100,RB
1766880225.594451,53194.750,6752,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766880153.959228,53245.000,6752,4,EM,1,100,PS
1766880082.324004,53295.250,6783,4,EM,1,100,RS
1766880010.688780,53345.500,6783,4,EM,1,100,RB
1766879939.053556,53395.750,6783,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766879867.418332,53446.000,6783,4,EM,1,100,PS
1766879795.783108,53496.250,6817,4,EM,1,100,RS
1766879724.147884,53546.500,6817,4,EM,1,100,RB
1766879652.512661,53596.750,6817,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766879580.877437,53647.000,6817,4,EM,1,100,PS
1766879509.242213,53697.250,6848,4,EM,1,100,RS
1766879437.606989,53747.500,6848,4,EM,1,100,RB
1766879365.971765,53797.750,6848,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766879294.336541,53848.000,6848,4,EM,1,100,PS
1766879222.701317,53898.250,6882,4,EM,1,100,RS
1766879151.066094,53948.500,6882,4,EM,1,100,RB
1766879079.430870,53998.750,6882,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766879007.795646,54049.000,6882,4,EM,1,100,PS
