LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1766888222.722750,47585.000,5811,1,TL,1,100,2025-12-27_10-11-59-127468
1766881042.093446,52622.000,6648,1,TL,1,100,2025-12-27_10-11-59-214517
1766881020.709797,52637.000,6651,1,TL,1,100,2025-12-27_10-12-04-175031
1766873761.673780,57729.000,7474,1,TL,1,100,2025-12-27_10-12-04-233065
1766873723.183212,57756.000,7477,1,TL,1,100,2025-12-27_10-12-09-296974
1766866474.126231,62841.000,8307,1,TL,1,100,2025-12-27_10-12-09-359344
1766866387.166059,62902.000,8310,1,TL,1,100,2025-12-27_10-12-14-443516
1766859192.280989,67949.000,9141,1,TL,1,100,2025-12-27_10-12-14-507549
1766859139.534655,67986.000,9144,1,TL,1,100,2025-12-27_10-12-19-517655
1766851910.435746,73057.000,9976,1,TL,1,100,2025-12-27_10-12-19-565492
