LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1766863770.641638,31136.000,3145,1,BV,1,100,3.85
1766863775.643717,36135.000,3975,1,BV,1,100,3.85
1766863780.646797,41135.000,4787,1,BV,1,100,3.85
1766863785.648876,46134.000,5602,1,BV,1,100,3.84
1766863790.651956,51134.000,6419,1,BV,1,100,3.83
1766863795.654035,56133.000,7217,1,BV,1,100,3.83
1766863800.663118,61139.000,8037,1,BV,1,100,3.83
1766863805.666198,66139.000,8853,1,BV,1,100,3.83
1766863810.668277,71138.000,9684,1,BV,1,100,3.83
1766863815.677360,76144.000,10492,1,BV,1,100,3.83
1766863820.687444,81151.000,11307,1,BV,1,100,3.83
1766863825.689523,86150.000,12126,1,BV,1,100,3.83
1766863830.692603,91150.000,12977,1,BV,1,100,3.83
1766863835.701686,96156.000,13773,1,BV,1,100,3.83
1766863840.710769,101162.000,14608,1,BV,1,100,3.83
1766863845.712849,106161.000,15427,1,BV,1,100,3.83
1766863850.728936,111174.000,16248,1,BV,1,100,3.83
1766863855.732016,116174.000,17071,1,BV,1,100,3.83
1766863860.741099,121180.000,17904,1,BV,1,100,3.83
1766863865.750183,126186.000,18722,1,BV,1,100,3.82
1766863870.759266,131192.000,19554,1,BV,1,100,3.82
1766863875.775354,136205.000,20361,1,BV,1,100,3.82
1766863880.784437,141211.000,21173,1,BV,1,100,3.82
1766863885.793520,146217.000,21988,1,BV,1,100,3.82
1766863890.796600,151217.000,22801,1,BV,1,100,3.82
1766863895.812688,156230.000,23611,1,BV,1,100,3.82
1766863900.821771,161236.000,24446,1,BV,1,100,3.82
1766863905.823850,166235.000,25259,1,BV,1,100,3.82
1766863910.826930,171235.000,26066,1,BV,1,100,3.82
1766863915.836013,176241.000,26884,1,BV,1,100,3.82
1766863920.839093,181241.000,27713,1,BV,1,100,3.82
1766863925.841172,186240.000,28520,1,BV,1,100,3.81
1766863930.850255,191246.000,29329,1,BV,1,100,3.81
1766863935.866343,196259.000,30163,1,BV,1,100,3.81
1766863940.875427,201265.000,30976,1,BV,1,100,3.81
1766863945.878506,206265.000,31787,1,BV,1,100,3.81
1766863950.887589,211271.000,32629,1,BV,1,100,3.81
1766863955.896673,216277.000,33458,1,BV,1,100,3.81
1766863960.899753,221277.000,34283,1,BV,1,100,3.81
1766863965.901832,226276.000,35102,1,BV,1,100,3.81
1766863970.910915,231282.000,35924,1,BV,1,100,3.81
1766863975.919998,236288.000,36739,1,BV,1,100,3.80
1766863980.936086,241301.000,37559,1,BV,1,100,3.80
1766863985.939166,246301.000,38360,1,BV,1,100,3.80
