LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1766863765.747626,26245.000,2338,1,TH,1,100,26.423
1766863765.880708,26378.000,2371,1,TH,1,100,26.423
1766863766.014790,26512.000,2388,1,TH,1,100,26.362
1766863766.147872,26645.000,2405,1,TH,1,100,26.362
1766863766.280954,26778.000,2421,1,TH,1,100,26.430
1766863766.415036,26912.000,2455,1,TH,1,100,26.444
1766863766.548118,27045.000,2472,1,TH,1,100,26.629
1766863766.681200,27178.000,2491,1,TH,1,100,26.622
1766863766.814282,27311.000,2524,1,TH,1,100,26.815
1766863766.948364,27445.000,2541,1,TH,1,100,26.815
1766863767.081446,27578.000,2558,1,TH,1,100,27.056
1766863767.214528,27711.000,2589,1,TH,1,100,27.035
1766863767.348611,27845.000,2607,1,TH,1,100,27.017
1766863767.481693,27978.000,2623,1,TH,1,100,27.024
1766863767.614775,28111.000,2655,1,TH,1,100,27.142
1766863767.748857,28245.000,2672,1,TH,1,100,27.128
1766863767.881939,28378.000,2691,1,TH,1,100,27.226
1766863768.015021,28511.000,2723,1,TH,1,100,27.219
1766863768.149104,28645.000,2740,1,TH,1,100,27.230
1766863768.282186,28778.000,2756,1,TH,1,100,27.223
1766863768.415267,28911.000,2774,1,TH,1,100,27.278
1766863768.549350,29045.000,2805,1,TH,1,100,27.285
1766863768.682432,29178.000,2822,1,TH,1,100,27.199
1766863768.815514,29311.000,2839,1,TH,1,100,27.199
1766863768.949596,29445.000,2871,1,TH,1,100,27.141
1766863769.082678,29578.000,2887,1,TH,1,100,27.148
1766863769.215760,29711.000,2906,1,TH,1,100,27.224
1766863769.349843,29845.000,2938,1,TH,1,100,27.224
1766863769.482925,29978.000,2954,1,TH,1,100,27.174
1766863769.616007,30111.000,2971,1,TH,1,100,27.167
1766863769.749089,30244.000,3003,1,TH,1,100,27.323
1766863769.883171,30378.000,3019,1,TH,1,100,27.309
1766863770.016253,30511.000,3037,1,TH,1,100,27.405
1766863770.149335,30644.000,3068,1,TH,1,100,27.398
1766863770.283417,30778.000,3087,1,TH,1,100,27.291
1766863770.416499,30911.000,3104,1,TH,1,100,27.291
1766863770.549581,31044.000,3120,1,TH,1,100,27.429
1766863770.683664,31178.000,3154,1,TH,1,100,27.422
1766863770.816746,31311.000,3171,1,TH,1,100,27.391
1766863770.949828,31444.000,3187,1,TH,1,100,27.384
1766863771.083910,31578.000,3219,1,TH,1,100,27.312
1766863771.216992,31711.000,3236,1,TH,1,100,27.312
1766863771.350074,31844.000,3253,1,TH,1,100,27.404
1766863771.484157,31978.000,3284,1,TH,1,100,27.404
1766863771.617239,32111.000,3301,1,TH,1,100,27.448
1766863771.750320,32244.000,3318,1,TH,1,100,27.448
1766863771.884403,32378.000,3349,1,TH,1,100,27.393
1766863772.017485,32511.000,3369,1,TH,1,100,27.393
1766863772.150567,32644.000,3385,1,TH,1,100,27.383
1766863772.284649,32778.000,3417,1,TH,1,100,27.390
1766863772.417731,32911.000,3434,1,TH,1,100,27.362
1766863772.550813,33044.000,3450,1,TH,1,100,27.362
1766863772.684896,33178.000,3470,1,TH,1,100,27.326
1766863772.817978,33311.000,3501,1,TH,1,100,27.326
1766863772.951060,33444.000,3522,1,TH,1,100,27.382
1766863773.084141,33577.000,3540,1,TH,1,100,27.382
1766863773.218224,33711.000,3571,1,TH,1,100,27.360
1766863773.351306,33844.000,3588,1,TH,1,100,27.360
1766863773.485389,33978.000,3605,1,TH,1,100,27.317
1766863773.618470,34111.000,3637,1,TH,1,100,27.317
1766863773.751552,34244.000,3653,1,TH,1,100,27.370
1766863773.884634,34377.000,3670,1,TH,1,100,27.370
1766863774.018717,34511.000,3702,1,TH,1,100,27.342
1766863774.151799,34644.000,3718,1,TH,1,100,27.342
1766863774.284881,34777.000,3735,1,TH,1,100,27.400
1766863774.418963,34911.000,3767,1,TH,1,100,27.393
1766863774.552045,35044.000,3783,1,TH,1,100,27.361
1766863774.685127,35177.000,3801,1,TH,1,100,27.361
1766863774.819210,35311.000,3817,1,TH,1,100,27.415
1766863774.952291,35444.000,3849,1,TH,1,100,27.408
1766863775.085373,35577.000,3866,1,TH,1,100,27.412
1766863775.219456,35711.000,3882,1,TH,1,100,27.412
1766863775.352538,35844.000,3916,1,TH,1,100,27.439
1766863775.485620,35977.000,3933,1,TH,1,100,27.439
1766863775.619702,36111.000,3949,1,TH,1,100,27.428
1766863775.752784,36244.000,3983,1,TH,1,100,27.428
1766863775.885866,36377.000,4000,1,TH,1,100,27.412
1766863776.019949,36511.000,4017,1,TH,1,100,27.412
1766863776.153031,36644.000,4048,1,TH,1,100,27.508
1766863776.286113,36777.000,4065,1,TH,1,100,27.508
1766863776.419194,36910.000,4082,1,TH,1,100,27.401
1766863776.553277,37044.000,4113,1,TH,1,100,27.401
1766863776.686359,37177.000,4131,1,TH,1,100,27.445
1766863776.819441,37310.000,4147,1,TH,1,100,27.445
1766863776.953523,37444.000,4164,1,TH,1,100,27.450
1766863777.086605,37577.000,4198,1,TH,1,100,27.450
1766863777.219687,37710.000,4214,1,TH,1,100,27.493
1766863777.353770,37844.000,4232,1,TH,1,100,27.493
1766863777.486852,37977.000,4263,1,TH,1,100,27.454
1766863777.619934,38110.000,4279,1,TH,1,100,27.454
1766863777.754016,38244.000,4297,1,TH,1,100,27.332
1766863777.887098,38377.000,4330,1,TH,1,100,27.332
1766863778.020180,38510.000,4352,1,TH,1,100,27.416
1766863778.154263,38644.000,4369,1,TH,1,100,27.416
1766863778.287344,38777.000,4401,1,TH,1,100,27.406
1766863778.420426,38910.000,4417,1,TH,1,100,27.407
1766863778.554509,39044.000,4434,1,TH,1,100,27.385
1766863778.687591,39177.000,4466,1,TH,1,100,27.385
1766863778.820673,39310.000,4482,1,TH,1,100,27.329
1766863778.954755,39444.000,4499,1,TH,1,100,27.329
1766863779.087837,39577.000,4516,1,TH,1,100,27.434
1766863779.220919,39710.000,4547,1,TH,1,100,27.434
1766863779.355002,39844.000,4565,1,TH,1,100,27.428
1766863779.488084,39977.000,4581,1,TH,1,100,27.428
1766863779.621166,40110.000,4613,1,TH,1,100,27.461
1766863779.755248,40244.000,4630,1,TH,1,100,27.461
1766863779.888330,40377.000,4646,1,TH,1,100,27.367
1766863780.021412,40510.000,4678,1,TH,1,100,27.367
1766863780.154494,40643.000,4695,1,TH,1,100,27.390
1766863780.288576,40777.000,4711,1,TH,1,100,27.390
1766863780.421658,40910.000,4743,1,TH,1,100,27.477
1766863780.554740,41043.000,4760,1,TH,1,100,27.477
1766863780.688823,41177.000,4777,1,TH,1,100,27.428
1766863780.821905,41310.000,4810,1,TH,1,100,27.428
1766863780.955987,41444.000,4828,1,TH,1,100,27.374
1766863781.089069,41577.000,4844,1,TH,1,100,27.381
1766863781.222151,41710.000,4861,1,TH,1,100,27.528
1766863781.355233,41843.000,4893,1,TH,1,100,27.527
1766863781.489315,41977.000,4909,1,TH,1,100,27.457
1766863781.622397,42110.000,4926,1,TH,1,100,27.484
1766863781.755479,42243.000,4958,1,TH,1,100,27.317
1766863781.889562,42377.000,4974,1,TH,1,100,27.324
1766863782.022644,42510.000,4992,1,TH,1,100,27.397
1766863782.155725,42643.000,5023,1,TH,1,100,27.397
1766863782.289808,42777.000,5039,1,TH,1,100,27.304
1766863782.422890,42910.000,5057,1,TH,1,100,27.311
1766863782.555972,43043.000,5088,1,TH,1,100,27.190
1766863782.690054,43177.000,5105,1,TH,1,100,27.190
1766863782.823136,43310.000,5122,1,TH,1,100,27.295
1766863782.956218,43443.000,5154,1,TH,1,100,27.295
1766863783.089300,43576.000,5170,1,TH,1,100,27.295
1766863783.223383,43710.000,5194,1,TH,1,100,27.295
1766863783.356465,43843.000,5211,1,TH,1,100,27.197
1766863783.489547,43976.000,5242,1,TH,1,100,27.197
1766863783.623629,44110.000,5259,1,TH,1,100,27.172
1766863783.756711,44243.000,5276,1,TH,1,100,27.179
1766863783.890794,44377.000,5307,1,TH,1,100,27.273
1766863784.023875,44510.000,5325,1,TH,1,100,27.273
1766863784.156957,44643.000,5341,1,TH,1,100,27.222
1766863784.290039,44776.000,5375,1,TH,1,100,27.222
1766863784.424122,44910.000,5394,1,TH,1,100,27.189
1766863784.557204,45043.000,5410,1,TH,1,100,27.189
1766863784.690286,45176.000,5442,1,TH,1,100,27.306
1766863784.824368,45310.000,5459,1,TH,1,100,27.305
1766863784.957450,45443.000,5475,1,TH,1,100,27.256
1766863785.090532,45576.000,5509,1,TH,1,100,27.256
1766863785.224615,45710.000,5526,1,TH,1,100,27.202
1766863785.357697,45843.000,5543,1,TH,1,100,27.202
1766863785.490778,45976.000,5560,1,TH,1,100,27.202
1766863785.624861,46110.000,5592,1,TH,1,100,27.202
1766863785.757943,46243.000,5610,1,TH,1,100,27.140
1766863785.891025,46376.000,5627,1,TH,1,100,27.140
1766863786.025107,46510.000,5661,1,TH,1,100,27.159
1766863786.158189,46643.000,5677,1,TH,1,100,27.165
1766863786.291271,46776.000,5694,1,TH,1,100,27.185
1766863786.424353,46909.000,5726,1,TH,1,100,27.192
