device_id,recorded_at,value
MD-V6-0000547,2025-12-26 02:00:22.126627+00,72.48
MD-V6-0000547,2025-12-26 02:00:22.807153+00,75.98
MD-V6-0000547,2025-12-26 02:00:23.900998+00,71.44
MD-V6-0000547,2025-12-26 02:00:24.461431+00,79.38
MD-V6-0000547,2025-12-26 02:00:24.781678+00,103.41
MD-V6-0000547,2025-12-26 02:00:25.382142+00,102.65
MD-V6-0000547,2025-12-26 02:00:27.023409+00,87.97
MD-V6-0000547,2025-12-26 02:00:28.304399+00,78.84
MD-V6-0000547,2025-12-26 02:00:29.23812+00,75.81
MD-V6-0000547,2025-12-26 02:00:29.558367+00,100.63
MD-V6-0000547,2025-12-26 02:00:29.958676+00,111.6
MD-V6-0000547,2025-12-26 02:00:30.919418+00,100.69
MD-V6-0000547,2025-12-26 02:00:32.960995+00,84.85
MD-V6-0000547,2025-12-26 02:00:34.968545+00,72.66
MD-V6-0000547,2025-12-26 02:00:35.982328+00,69.85
MD-V6-0000547,2025-12-26 02:00:36.50273+00,79.97
MD-V6-0000547,2025-12-26 02:00:37.38341+00,77.35
MD-V6-0000547,2025-12-26 02:00:38.023905+00,80.99
MD-V6-0000547,2025-12-26 02:00:38.424214+00,96.33
MD-V6-0000547,2025-12-26 02:00:41.679729+00,79.04
MD-V6-0000547,2025-12-26 02:00:42.560409+00,76.62
MD-V6-0000547,2025-12-26 02:00:45.015305+00,65.06
MD-V6-0000547,2025-12-26 02:00:45.495676+00,78.38
MD-V6-0000547,2025-12-26 02:00:45.976047+00,88.74
MD-V6-0000547,2025-12-26 02:00:47.377129+00,78.54
MD-V6-0000547,2025-12-26 02:00:48.818242+00,70.35
MD-V6-0000547,2025-12-26 02:00:49.61886+00,71.38
MD-V6-0000547,2025-12-26 02:00:49.952118+00,97.19
MD-V6-0000547,2025-12-26 02:00:50.712705+00,93.13
MD-V6-0000547,2025-12-26 02:00:51.953663+00,83.19
MD-V6-0000547,2025-12-26 02:00:52.394004+00,95.01
MD-V6-0000547,2025-12-26 02:00:53.394776+00,87.23
MD-V6-0000547,2025-12-26 02:00:54.275457+00,82.99
MD-V6-0000547,2025-12-26 02:00:55.329271+00,77.37
MD-V6-0000547,2025-12-26 02:00:56.249982+00,74.67
MD-V6-0000547,2025-12-26 02:00:58.210496+00,64.88
MD-V6-0000547,2025-12-26 02:00:59.131207+00,64.95
MD-V6-0000547,2025-12-26 02:01:00.946609+00,57.93
