device_id,recorded_at,value
MD-V6-0000547,2025-12-26 02:02:00.531628+00,0.001734
MD-V6-0000547,2025-12-26 02:03:08.858398+00,0.000096
MD-V6-0000547,2025-12-26 02:03:09.791119+00,0.005437
MD-V6-0000547,2025-12-27 19:29:25.140252+00,0.000593
MD-V6-0000547,2025-12-27 19:29:26.272949+00,0.001662
MD-V6-0000547,2025-12-27 19:29:43.948829+00,0.008731
MD-V6-0000547,2025-12-27 19:29:51.619551+00,0.007031
MD-V6-0000547,2025-12-27 19:29:54.887563+00,0.008979
MD-V6-0000547,2025-12-27 19:29:56.488548+00,0.002553
MD-V6-0000547,2025-12-27 19:29:58.629866+00,0.002646
MD-V6-0000547,2025-12-27 19:29:59.363318+00,0.000265
MD-V6-0000547,2025-12-27 19:30:01.431591+00,0.000081
MD-V6-0000547,2025-12-27 19:30:03.498863+00,0.008317
MD-V6-0000547,2025-12-27 19:30:04.632561+00,0.000632
MD-V6-0000547,2025-12-27 19:30:05.232931+00,0.00127
MD-V6-0000547,2025-12-27 19:30:05.701219+00,0.003239
MD-V6-0000547,2025-12-27 19:30:06.833916+00,0.012012
MD-V6-0000547,2025-12-27 19:30:07.501327+00,0.002826
MD-V6-0000547,2025-12-27 19:30:09.5686+00,0.000732
MD-V6-0000547,2025-12-27 19:30:11.770955+00,0.000088
MD-V6-0000547,2025-12-27 19:30:12.104161+00,0.000031
MD-V6-0000547,2025-12-27 19:30:17.446449+00,0.013214
MD-V6-0000547,2025-12-27 19:30:18.11386+00,0.001137
MD-V6-0000547,2025-12-27 19:30:20.055055+00,0.002054
MD-V6-0000547,2025-12-27 19:30:20.787506+00,0.004609
MD-V6-0000547,2025-12-27 19:30:23.590231+00,0.000303
MD-V6-0000547,2025-12-27 19:30:24.056518+00,0.000662
MD-V6-0000547,2025-12-27 19:30:24.723929+00,0.00026
MD-V6-0000547,2025-12-27 19:30:25.124175+00,0.000651
MD-V6-0000547,2025-12-27 19:30:25.857627+00,0.000081
MD-V6-0000547,2025-12-27 19:30:26.190832+00,0.000517
MD-V6-0000547,2025-12-27 19:30:26.858243+00,0.000206
MD-V6-0000547,2025-12-27 19:30:27.391571+00,0.000093
MD-V6-0000547,2025-12-27 19:30:27.724776+00,0.000053
MD-V6-0000547,2025-12-27 19:30:27.924899+00,0.000337
MD-V6-0000547,2025-12-27 19:30:28.59231+00,0.000853
MD-V6-0000547,2025-12-27 19:30:33.927594+00,0.00107
MD-V6-0000547,2025-12-27 19:30:35.135338+00,0.00329
MD-V6-0000547,2025-12-27 19:30:35.602625+00,0.005957
MD-V6-0000547,2025-12-27 19:30:36.202995+00,0.00366
MD-V6-0000547,2025-12-27 19:30:36.869405+00,0.001417
MD-V6-0000547,2025-12-27 19:30:37.80298+00,0.000648
MD-V6-0000547,2025-12-27 19:30:38.937678+00,0.000541
MD-V6-0000547,2025-12-27 19:30:40.211462+00,0.00058
MD-V6-0000547,2025-12-27 19:30:41.34516+00,0.003512
MD-V6-0000547,2025-12-27 19:30:43.079227+00,0.001165
MD-V6-0000547,2025-12-27 19:30:46.482322+00,0.002692
MD-V6-0000547,2025-12-27 19:30:47.088696+00,0.002176
MD-V6-0000547,2025-12-27 19:30:49.223009+00,0.000542
MD-V6-0000547,2025-12-27 19:30:49.563219+00,0.004084
MD-V6-0000547,2025-12-27 19:30:50.696917+00,0.005639
MD-V6-0000547,2025-12-27 19:30:54.632339+00,0.019093
MD-V6-0000547,2025-12-27 19:30:59.434295+00,0.009966
MD-V6-0000547,2025-12-27 19:31:01.642654+00,0.000851
MD-V6-0000547,2025-12-27 19:31:04.717547+00,0.021175
MD-V6-0000547,2025-12-27 19:31:06.384573+00,0.000712
MD-V6-0000547,2025-12-27 19:31:07.919518+00,0.007737
MD-V6-0000547,2025-12-27 19:31:10.861329+00,0.00015
MD-V6-0000547,2025-12-27 19:31:11.127493+00,0.018593
MD-V6-0000547,2025-12-27 19:31:19.818843+00,0.002351
MD-V6-0000547,2025-12-27 19:31:21.55291+00,0.014588
MD-V6-0000547,2025-12-27 19:31:22.487485+00,0.001363
MD-V6-0000547,2025-12-27 19:31:25.494336+00,0.011279
MD-V6-0000547,2025-12-27 19:31:30.831622+00,0.001067
MD-V6-0000547,2025-12-27 19:31:35.31338+00,0.007418
MD-V6-0000547,2025-12-27 19:31:37.113489+00,0.000443
MD-V6-0000547,2025-12-27 19:31:37.854945+00,0.003211
MD-V6-0000547,2025-12-27 19:31:38.921602+00,0.003262
MD-V6-0000547,2025-12-27 19:31:44.323927+00,0.002783
MD-V6-0000547,2025-12-27 19:31:46.325159+00,0.000115
MD-V6-0000547,2025-12-27 19:31:46.659365+00,0.002165
MD-V6-0000547,2025-12-27 19:31:47.325775+00,0.003993
MD-V6-0000547,2025-12-27 19:31:52.128731+00,0.000064
MD-V6-0000547,2025-12-27 19:31:52.729101+00,0.000119
MD-V6-0000547,2025-12-27 19:31:53.862799+00,0.000194
MD-V6-0000547,2025-12-27 19:31:58.871882+00,0.001474
MD-V6-0000547,2025-12-27 19:31:59.872498+00,0.000905
MD-V6-0000547,2025-12-27 19:32:02.940387+00,0.000422
MD-V6-0000547,2025-12-27 19:32:04.608413+00,0.000079
MD-V6-0000547,2025-12-27 19:32:06.542604+00,0.000145
MD-V6-0000547,2025-12-27 19:32:08.683922+00,0.000168
MD-V6-0000547,2025-12-27 19:32:11.418605+00,0.000818
MD-V6-0000547,2025-12-27 19:32:12.819468+00,0.000353
MD-V6-0000547,2025-12-27 19:32:13.419837+00,0.000161
MD-V6-0000547,2025-12-27 19:32:14.153289+00,0.000811
MD-V6-0000547,2025-12-27 19:32:15.294991+00,0.000077
MD-V6-0000547,2025-12-27 19:32:15.768283+00,0.00006
MD-V6-0000547,2025-12-27 19:32:16.034447+00,0.00014
MD-V6-0000547,2025-12-27 19:32:17.434308+00,0.000923
MD-V6-0000547,2025-12-27 19:32:19.309463+00,0.001241
MD-V6-0000547,2025-12-27 19:32:23.712173+00,0.0006
MD-V6-0000547,2025-12-27 19:32:27.847718+00,0.000052
MD-V6-0000547,2025-12-27 19:32:28.447087+00,0.000015
MD-V6-0000547,2025-12-27 19:32:28.914375+00,0.00009
MD-V6-0000547,2025-12-27 19:32:29.447703+00,0.000044
MD-V6-0000547,2025-12-27 19:32:29.781909+00,0.000016
MD-V6-0000547,2025-12-27 19:32:30.389283+00,0.000032
MD-V6-0000547,2025-12-27 19:32:30.654446+00,0.000152
MD-V6-0000547,2025-12-27 19:32:31.522981+00,0.000016
MD-V6-0000547,2025-12-27 19:32:32.255432+00,0.000015
MD-V6-0000547,2025-12-27 19:32:32.455555+00,0.000056
MD-V6-0000547,2025-12-27 19:32:32.78976+00,0.000031
MD-V6-0000547,2025-12-27 19:32:33.789376+00,0.000217
MD-V6-0000547,2025-12-27 19:32:35.25828+00,0.000015
MD-V6-0000547,2025-12-27 19:32:36.264899+00,0.00004
MD-V6-0000547,2025-12-27 19:32:37.864884+00,0.000051
MD-V6-0000547,2025-12-27 19:32:38.399213+00,0.000175
MD-V6-0000547,2025-12-27 19:32:39.466871+00,0.000012
MD-V6-0000547,2025-12-27 19:32:40.200322+00,0.000013
MD-V6-0000547,2025-12-27 19:32:40.400445+00,0.000018
MD-V6-0000547,2025-12-27 19:32:40.66761+00,0.000041
MD-V6-0000547,2025-12-27 19:32:41.467102+00,0.000031
MD-V6-0000547,2025-12-27 19:32:42.201554+00,0.000026
MD-V6-0000547,2025-12-27 19:32:47.470798+00,0.000202
MD-V6-0000547,2025-12-27 19:32:48.744581+00,0.000273
MD-V6-0000547,2025-12-27 19:32:52.146676+00,0.000022
MD-V6-0000547,2025-12-27 19:32:53.820706+00,0.000013
MD-V6-0000547,2025-12-27 19:32:54.153911+00,0.000088
MD-V6-0000547,2025-12-27 19:32:54.820322+00,0.00001
MD-V6-0000547,2025-12-27 19:32:55.020445+00,0.000034
MD-V6-0000547,2025-12-27 19:32:55.621815+00,0.000005
MD-V6-0000547,2025-12-27 19:32:56.088102+00,0.000012
MD-V6-0000547,2025-12-27 19:32:56.288225+00,0.000038
MD-V6-0000547,2025-12-27 19:32:57.155759+00,0.00001
MD-V6-0000547,2025-12-27 19:32:57.355882+00,0.000044
MD-V6-0000547,2025-12-27 19:32:57.822169+00,0.000012
