device_id,recorded_at,value
MD-V6-0000547,2025-12-26 02:00:22.325781+00,0
MD-V6-0000547,2025-12-26 02:00:22.72609+00,0
MD-V6-0000547,2025-12-26 02:00:22.992296+00,0
MD-V6-0000547,2025-12-26 02:00:23.326554+00,0
MD-V6-0000547,2025-12-26 02:00:23.726863+00,0
MD-V6-0000547,2025-12-26 02:00:23.993069+00,0
MD-V6-0000547,2025-12-26 02:00:24.327327+00,0
MD-V6-0000547,2025-12-26 02:00:24.660584+00,0
MD-V6-0000547,2025-12-26 02:00:25.060894+00,0
MD-V6-0000547,2025-12-26 02:00:25.327099+00,0
MD-V6-0000547,2025-12-26 02:00:25.661357+00,0
MD-V6-0000547,2025-12-26 02:00:26.061666+00,0
MD-V6-0000547,2025-12-26 02:00:26.327872+00,0
MD-V6-0000547,2025-12-26 02:00:26.66213+00,0
MD-V6-0000547,2025-12-26 02:00:26.995388+00,0
MD-V6-0000547,2025-12-26 02:00:27.395697+00,0
MD-V6-0000547,2025-12-26 02:00:27.662903+00,0
MD-V6-0000547,2025-12-26 02:00:27.996161+00,0
MD-V6-0000547,2025-12-26 02:00:28.39647+00,0
MD-V6-0000547,2025-12-26 02:00:28.729727+00,0
MD-V6-0000547,2025-12-26 02:00:28.996933+00,0
MD-V6-0000547,2025-12-26 02:00:29.330191+00,0
MD-V6-0000547,2025-12-26 02:00:29.7305+00,0
MD-V6-0000547,2025-12-26 02:00:29.997706+00,0
MD-V6-0000547,2025-12-26 02:00:30.330964+00,0
MD-V6-0000547,2025-12-26 02:00:30.731273+00,0
MD-V6-0000547,2025-12-26 02:00:31.06453+00,0
MD-V6-0000547,2025-12-26 02:00:31.331737+00,0
MD-V6-0000547,2025-12-26 02:00:31.664994+00,0
MD-V6-0000547,2025-12-26 02:00:32.065303+00,0
MD-V6-0000547,2025-12-26 02:00:32.33251+00,0
MD-V6-0000547,2025-12-26 02:00:32.665767+00,0
MD-V6-0000547,2025-12-26 02:00:32.999024+00,0
MD-V6-0000547,2025-12-26 02:00:33.399333+00,0
MD-V6-0000547,2025-12-26 02:00:33.673545+00,0
MD-V6-0000547,2025-12-26 02:00:34.006803+00,0
MD-V6-0000547,2025-12-26 02:00:34.407112+00,0
MD-V6-0000547,2025-12-26 02:00:34.674318+00,0
MD-V6-0000547,2025-12-26 02:00:35.007576+00,0
MD-V6-0000547,2025-12-26 02:00:35.407885+00,0
MD-V6-0000547,2025-12-26 02:00:35.741142+00,0
MD-V6-0000547,2025-12-26 02:00:36.008348+00,0
MD-V6-0000547,2025-12-26 02:00:36.341606+00,0
MD-V6-0000547,2025-12-26 02:00:36.741915+00,0
MD-V6-0000547,2025-12-26 02:00:37.009121+00,0
MD-V6-0000547,2025-12-26 02:00:37.342379+00,0
MD-V6-0000547,2025-12-26 02:00:37.675636+00,0
MD-V6-0000547,2025-12-26 02:00:38.075945+00,0
MD-V6-0000547,2025-12-26 02:00:38.343152+00,0
MD-V6-0000547,2025-12-26 02:00:38.676409+00,0
MD-V6-0000547,2025-12-26 02:00:39.076718+00,0
MD-V6-0000547,2025-12-26 02:00:39.343925+00,0
MD-V6-0000547,2025-12-26 02:00:39.677182+00,0
MD-V6-0000547,2025-12-26 02:00:40.010439+00,0
MD-V6-0000547,2025-12-26 02:00:40.410748+00,0
MD-V6-0000547,2025-12-26 02:00:40.677955+00,0
MD-V6-0000547,2025-12-26 02:00:41.011212+00,0
MD-V6-0000547,2025-12-26 02:00:41.411521+00,0
MD-V6-0000547,2025-12-26 02:00:41.678728+00,0
MD-V6-0000547,2025-12-26 02:00:42.011985+00,0
MD-V6-0000547,2025-12-26 02:00:42.345243+00,0
MD-V6-0000547,2025-12-26 02:00:42.745552+00,0
MD-V6-0000547,2025-12-26 02:00:43.012758+00,0
MD-V6-0000547,2025-12-26 02:00:43.346015+00,0
MD-V6-0000547,2025-12-26 02:00:43.746325+00,0
MD-V6-0000547,2025-12-26 02:00:44.013531+00,0
MD-V6-0000547,2025-12-26 02:00:44.346788+00,0
MD-V6-0000547,2025-12-26 02:00:44.680046+00,0
MD-V6-0000547,2025-12-26 02:00:45.080355+00,0
MD-V6-0000547,2025-12-26 02:00:45.347561+00,0
MD-V6-0000547,2025-12-26 02:00:45.680819+00,0
MD-V6-0000547,2025-12-26 02:00:46.081128+00,0
MD-V6-0000547,2025-12-26 02:00:46.348334+00,0
MD-V6-0000547,2025-12-26 02:00:46.681592+00,0
MD-V6-0000547,2025-12-26 02:00:47.01585+00,0
MD-V6-0000547,2025-12-26 02:00:47.416159+00,0
MD-V6-0000547,2025-12-26 02:00:47.682365+00,0
MD-V6-0000547,2025-12-26 02:00:48.016623+00,0
MD-V6-0000547,2025-12-26 02:00:48.415931+00,0
MD-V6-0000547,2025-12-26 02:00:48.750189+00,0
MD-V6-0000547,2025-12-26 02:00:49.016395+00,0
MD-V6-0000547,2025-12-26 02:00:49.350653+00,0
MD-V6-0000547,2025-12-26 02:00:49.750962+00,0
MD-V6-0000547,2025-12-26 02:00:50.017168+00,0
MD-V6-0000547,2025-12-26 02:00:50.351426+00,0
MD-V6-0000547,2025-12-26 02:00:50.684683+00,0
MD-V6-0000547,2025-12-26 02:00:51.084993+00,0
MD-V6-0000547,2025-12-26 02:00:51.351198+00,0
MD-V6-0000547,2025-12-26 02:00:51.685456+00,0
MD-V6-0000547,2025-12-26 02:00:52.085766+00,0
MD-V6-0000547,2025-12-26 02:00:52.351971+00,0
MD-V6-0000547,2025-12-26 02:00:52.686229+00,0
MD-V6-0000547,2025-12-26 02:00:53.019487+00,0
MD-V6-0000547,2025-12-26 02:00:53.419796+00,0
MD-V6-0000547,2025-12-26 02:00:53.687002+00,0
MD-V6-0000547,2025-12-26 02:00:54.02026+00,0
MD-V6-0000547,2025-12-26 02:00:54.420569+00,0
MD-V6-0000547,2025-12-26 02:00:54.687775+00,0
MD-V6-0000547,2025-12-26 02:00:55.021033+00,0
MD-V6-0000547,2025-12-26 02:00:55.35429+00,0
MD-V6-0000547,2025-12-26 02:00:55.754599+00,0
MD-V6-0000547,2025-12-26 02:00:56.021805+00,0
MD-V6-0000547,2025-12-26 02:00:56.355063+00,0
MD-V6-0000547,2025-12-26 02:00:56.755372+00,0
MD-V6-0000547,2025-12-26 02:00:57.022578+00,0
MD-V6-0000547,2025-12-26 02:00:57.355836+00,0
MD-V6-0000547,2025-12-26 02:00:57.689093+00,0
MD-V6-0000547,2025-12-26 02:00:58.089402+00,0
MD-V6-0000547,2025-12-26 02:00:58.356609+00,0
MD-V6-0000547,2025-12-26 02:00:58.689866+00,0
MD-V6-0000547,2025-12-26 02:00:59.090175+00,0
MD-V6-0000547,2025-12-26 02:00:59.357382+00,0
MD-V6-0000547,2025-12-26 02:00:59.690639+00,0
MD-V6-0000547,2025-12-26 02:01:00.023896+00,0
MD-V6-0000547,2025-12-26 02:01:00.424206+00,0
MD-V6-0000547,2025-12-26 02:01:00.691412+00,0
MD-V6-0000547,2025-12-26 02:01:01.024669+00,0
MD-V6-0000547,2025-12-26 02:01:01.424978+00,0
MD-V6-0000547,2025-12-26 02:01:01.692185+00,0
MD-V6-0000547,2025-12-26 02:01:02.025442+00,0
MD-V6-0000547,2025-12-26 02:01:02.3587+00,0
MD-V6-0000547,2025-12-26 02:01:02.759009+00,0
MD-V6-0000547,2025-12-26 02:01:03.026215+00,0
MD-V6-0000547,2025-12-26 02:01:03.359473+00,0
MD-V6-0000547,2025-12-26 02:01:03.759782+00,0
MD-V6-0000547,2025-12-26 02:01:04.026988+00,0
MD-V6-0000547,2025-12-26 02:01:04.360245+00,0
MD-V6-0000547,2025-12-26 02:01:04.693503+00,0
MD-V6-0000547,2025-12-26 02:01:05.093812+00,0
MD-V6-0000547,2025-12-26 02:01:05.361018+00,0
MD-V6-0000547,2025-12-26 02:01:05.694276+00,0
MD-V6-0000547,2025-12-26 02:01:06.094585+00,0
MD-V6-0000547,2025-12-26 02:01:06.361791+00,0
MD-V6-0000547,2025-12-26 02:01:06.695049+00,0
MD-V6-0000547,2025-12-26 02:01:07.029307+00,0
MD-V6-0000547,2025-12-26 02:01:07.429616+00,0
MD-V6-0000547,2025-12-26 02:01:07.695822+00,0
MD-V6-0000547,2025-12-26 02:01:08.03008+00,0
MD-V6-0000547,2025-12-26 02:01:08.429388+00,0
MD-V6-0000547,2025-12-26 02:01:08.763646+00,0
MD-V6-0000547,2025-12-26 02:01:09.029852+00,0
MD-V6-0000547,2025-12-26 02:01:09.36411+00,0
MD-V6-0000547,2025-12-26 02:01:09.764419+00,0
MD-V6-0000547,2025-12-26 02:01:10.030625+00,0
MD-V6-0000547,2025-12-26 02:01:10.364883+00,0
MD-V6-0000547,2025-12-26 02:01:10.765192+00,0
MD-V6-0000547,2025-12-26 02:01:11.098449+00,0
MD-V6-0000547,2025-12-26 02:01:11.365656+00,0
MD-V6-0000547,2025-12-26 02:01:11.698913+00,0
MD-V6-0000547,2025-12-26 02:01:12.099222+00,0
MD-V6-0000547,2025-12-26 02:01:12.365428+00,0
MD-V6-0000547,2025-12-26 02:01:12.699686+00,0
MD-V6-0000547,2025-12-26 02:01:13.099995+00,0
MD-V6-0000547,2025-12-26 02:01:13.433253+00,0
MD-V6-0000547,2025-12-26 02:01:13.700459+00,0
MD-V6-0000547,2025-12-26 02:01:14.033716+00,0
MD-V6-0000547,2025-12-26 02:01:14.434026+00,0
MD-V6-0000547,2025-12-26 02:01:14.701232+00,0
