device_id,recorded_at,value
MD-V6-0000547,2025-12-26 02:02:00.531628+00,0.066667
MD-V6-0000547,2025-12-26 02:03:08.858398+00,0.066667
MD-V6-0000547,2025-12-26 02:03:09.791119+00,0.133333
MD-V6-0000547,2025-12-27 19:29:25.140252+00,0.6
MD-V6-0000547,2025-12-27 19:29:26.272949+00,0.266667
MD-V6-0000547,2025-12-27 19:29:43.948829+00,0.2
MD-V6-0000547,2025-12-27 19:29:51.619551+00,0.266667
MD-V6-0000547,2025-12-27 19:29:54.887563+00,0.266667
MD-V6-0000547,2025-12-27 19:29:56.488548+00,0.8
MD-V6-0000547,2025-12-27 19:29:58.629866+00,0.466667
MD-V6-0000547,2025-12-27 19:29:59.363318+00,0.066667
MD-V6-0000547,2025-12-27 19:30:01.431591+00,0.333333
MD-V6-0000547,2025-12-27 19:30:03.498863+00,0.466667
MD-V6-0000547,2025-12-27 19:30:04.632561+00,0.2
MD-V6-0000547,2025-12-27 19:30:05.232931+00,0.333333
MD-V6-0000547,2025-12-27 19:30:05.701219+00,0.733333
MD-V6-0000547,2025-12-27 19:30:06.833916+00,0.533333
MD-V6-0000547,2025-12-27 19:30:07.501327+00,0.2
MD-V6-0000547,2025-12-27 19:30:09.5686+00,0.2
MD-V6-0000547,2025-12-27 19:30:11.770955+00,0.2
MD-V6-0000547,2025-12-27 19:30:12.104161+00,0.066667
MD-V6-0000547,2025-12-27 19:30:17.446449+00,0.4
MD-V6-0000547,2025-12-27 19:30:18.11386+00,0.066667
MD-V6-0000547,2025-12-27 19:30:20.055055+00,0.466667
MD-V6-0000547,2025-12-27 19:30:20.787506+00,0.4
MD-V6-0000547,2025-12-27 19:30:23.590231+00,0.2
MD-V6-0000547,2025-12-27 19:30:24.056518+00,0.266667
MD-V6-0000547,2025-12-27 19:30:24.723929+00,0.133333
MD-V6-0000547,2025-12-27 19:30:25.124175+00,0.2
MD-V6-0000547,2025-12-27 19:30:25.857627+00,0.066667
MD-V6-0000547,2025-12-27 19:30:26.190832+00,0.266667
MD-V6-0000547,2025-12-27 19:30:26.858243+00,0.133333
MD-V6-0000547,2025-12-27 19:30:27.391571+00,0.066667
MD-V6-0000547,2025-12-27 19:30:27.724776+00,0.066667
MD-V6-0000547,2025-12-27 19:30:27.924899+00,0.133333
MD-V6-0000547,2025-12-27 19:30:28.59231+00,0.4
MD-V6-0000547,2025-12-27 19:30:33.927594+00,0.533333
MD-V6-0000547,2025-12-27 19:30:35.135338+00,0.333333
MD-V6-0000547,2025-12-27 19:30:35.602625+00,0.466667
MD-V6-0000547,2025-12-27 19:30:36.202995+00,0.133333
MD-V6-0000547,2025-12-27 19:30:36.869405+00,0.133333
MD-V6-0000547,2025-12-27 19:30:37.80298+00,0.2
MD-V6-0000547,2025-12-27 19:30:38.937678+00,0.4
MD-V6-0000547,2025-12-27 19:30:40.211462+00,0.2
MD-V6-0000547,2025-12-27 19:30:41.34516+00,0.8
MD-V6-0000547,2025-12-27 19:30:43.079227+00,0.2
MD-V6-0000547,2025-12-27 19:30:46.482322+00,0.333333
MD-V6-0000547,2025-12-27 19:30:47.088696+00,0.066667
MD-V6-0000547,2025-12-27 19:30:49.223009+00,0.066667
MD-V6-0000547,2025-12-27 19:30:49.563219+00,0.266667
MD-V6-0000547,2025-12-27 19:30:50.696917+00,0.333333
MD-V6-0000547,2025-12-27 19:30:54.632339+00,0.333333
MD-V6-0000547,2025-12-27 19:30:59.434295+00,0.266667
MD-V6-0000547,2025-12-27 19:31:01.642654+00,0.2
MD-V6-0000547,2025-12-27 19:31:04.717547+00,0.133333
MD-V6-0000547,2025-12-27 19:31:06.384573+00,0.066667
MD-V6-0000547,2025-12-27 19:31:07.919518+00,0.533333
MD-V6-0000547,2025-12-27 19:31:10.861329+00,0.066667
MD-V6-0000547,2025-12-27 19:31:11.127493+00,0.933333
MD-V6-0000547,2025-12-27 19:31:19.818843+00,0.133333
MD-V6-0000547,2025-12-27 19:31:21.55291+00,0.266667
MD-V6-0000547,2025-12-27 19:31:22.487485+00,0.2
MD-V6-0000547,2025-12-27 19:31:25.494336+00,0.533333
MD-V6-0000547,2025-12-27 19:31:30.831622+00,1.2
MD-V6-0000547,2025-12-27 19:31:35.31338+00,1.133333
MD-V6-0000547,2025-12-27 19:31:37.113489+00,0.133333
MD-V6-0000547,2025-12-27 19:31:37.854945+00,0.266667
MD-V6-0000547,2025-12-27 19:31:38.921602+00,0.666667
MD-V6-0000547,2025-12-27 19:31:44.323927+00,0.266667
MD-V6-0000547,2025-12-27 19:31:46.325159+00,0.2
MD-V6-0000547,2025-12-27 19:31:46.659365+00,0.266667
MD-V6-0000547,2025-12-27 19:31:47.325775+00,0.4
MD-V6-0000547,2025-12-27 19:31:52.128731+00,0.066667
MD-V6-0000547,2025-12-27 19:31:52.729101+00,0.466667
MD-V6-0000547,2025-12-27 19:31:53.862799+00,0.333333
MD-V6-0000547,2025-12-27 19:31:58.871882+00,0.466667
MD-V6-0000547,2025-12-27 19:31:59.872498+00,0.266667
MD-V6-0000547,2025-12-27 19:32:02.940387+00,1
MD-V6-0000547,2025-12-27 19:32:04.608413+00,0.2
MD-V6-0000547,2025-12-27 19:32:06.542604+00,0.333333
MD-V6-0000547,2025-12-27 19:32:08.683922+00,0.266667
MD-V6-0000547,2025-12-27 19:32:11.418605+00,0.866667
MD-V6-0000547,2025-12-27 19:32:12.819468+00,0.466667
MD-V6-0000547,2025-12-27 19:32:13.419837+00,0.2
MD-V6-0000547,2025-12-27 19:32:14.153289+00,0.2
MD-V6-0000547,2025-12-27 19:32:15.294991+00,0.2
MD-V6-0000547,2025-12-27 19:32:15.768283+00,0.133333
MD-V6-0000547,2025-12-27 19:32:16.034447+00,0.266667
MD-V6-0000547,2025-12-27 19:32:17.434308+00,0.333333
MD-V6-0000547,2025-12-27 19:32:19.309463+00,0.133333
MD-V6-0000547,2025-12-27 19:32:23.712173+00,1.466667
MD-V6-0000547,2025-12-27 19:32:27.847718+00,0.2
MD-V6-0000547,2025-12-27 19:32:28.447087+00,0.066667
MD-V6-0000547,2025-12-27 19:32:28.914375+00,0.4
MD-V6-0000547,2025-12-27 19:32:29.447703+00,0.2
MD-V6-0000547,2025-12-27 19:32:29.781909+00,0.066667
MD-V6-0000547,2025-12-27 19:32:30.389283+00,0.133333
MD-V6-0000547,2025-12-27 19:32:30.654446+00,0.6
MD-V6-0000547,2025-12-27 19:32:31.522981+00,0.066667
MD-V6-0000547,2025-12-27 19:32:32.255432+00,0.066667
MD-V6-0000547,2025-12-27 19:32:32.455555+00,0.2
MD-V6-0000547,2025-12-27 19:32:32.78976+00,0.066667
MD-V6-0000547,2025-12-27 19:32:33.789376+00,1.2
MD-V6-0000547,2025-12-27 19:32:35.25828+00,0.066667
MD-V6-0000547,2025-12-27 19:32:36.264899+00,0.266667
MD-V6-0000547,2025-12-27 19:32:37.864884+00,0.4
MD-V6-0000547,2025-12-27 19:32:38.399213+00,0.933333
MD-V6-0000547,2025-12-27 19:32:39.466871+00,0.066667
MD-V6-0000547,2025-12-27 19:32:40.200322+00,0.066667
MD-V6-0000547,2025-12-27 19:32:40.400445+00,0.133333
MD-V6-0000547,2025-12-27 19:32:40.66761+00,0.266667
MD-V6-0000547,2025-12-27 19:32:41.467102+00,0.2
MD-V6-0000547,2025-12-27 19:32:42.201554+00,0.2
MD-V6-0000547,2025-12-27 19:32:47.470798+00,0.2
MD-V6-0000547,2025-12-27 19:32:48.744581+00,0.333333
MD-V6-0000547,2025-12-27 19:32:52.146676+00,0.066667
MD-V6-0000547,2025-12-27 19:32:53.820706+00,0.066667
