device_id,recorded_at,value
MD-V6-0000547,2025-12-26 02:00:22.051569+00,25.389
MD-V6-0000547,2025-12-26 02:00:22.184672+00,25.346
MD-V6-0000547,2025-12-26 02:00:22.318776+00,25.398
MD-V6-0000547,2025-12-26 02:00:22.451879+00,25.456
MD-V6-0000547,2025-12-26 02:00:22.584981+00,25.552
MD-V6-0000547,2025-12-26 02:00:22.719085+00,25.451
MD-V6-0000547,2025-12-26 02:00:22.852188+00,25.408
MD-V6-0000547,2025-12-26 02:00:22.985291+00,25.46
MD-V6-0000547,2025-12-26 02:00:23.119394+00,25.412
MD-V6-0000547,2025-12-26 02:00:23.252497+00,25.604
MD-V6-0000547,2025-12-26 02:00:23.3856+00,25.58
MD-V6-0000547,2025-12-26 02:00:23.519703+00,25.499
MD-V6-0000547,2025-12-26 02:00:23.652806+00,25.393
MD-V6-0000547,2025-12-26 02:00:23.785909+00,25.454
MD-V6-0000547,2025-12-26 02:00:23.920012+00,25.48
MD-V6-0000547,2025-12-26 02:00:24.053115+00,25.598
MD-V6-0000547,2025-12-26 02:00:24.186218+00,25.436
MD-V6-0000547,2025-12-26 02:00:24.320322+00,25.472
MD-V6-0000547,2025-12-26 02:00:24.453424+00,25.346
MD-V6-0000547,2025-12-26 02:00:24.586527+00,25.398
MD-V6-0000547,2025-12-26 02:00:24.71963+00,25.562
MD-V6-0000547,2025-12-26 02:00:24.853734+00,25.562
MD-V6-0000547,2025-12-26 02:00:24.986836+00,25.527
MD-V6-0000547,2025-12-26 02:00:25.119939+00,25.476
MD-V6-0000547,2025-12-26 02:00:25.254043+00,25.419
MD-V6-0000547,2025-12-26 02:00:25.387146+00,25.429
MD-V6-0000547,2025-12-26 02:00:25.520248+00,25.54
MD-V6-0000547,2025-12-26 02:00:25.654352+00,25.447
MD-V6-0000547,2025-12-26 02:00:25.787455+00,25.406
MD-V6-0000547,2025-12-26 02:00:25.920557+00,25.53
MD-V6-0000547,2025-12-26 02:00:26.054661+00,25.549
MD-V6-0000547,2025-12-26 02:00:26.187764+00,25.592
MD-V6-0000547,2025-12-26 02:00:26.320867+00,25.611
MD-V6-0000547,2025-12-26 02:00:26.45497+00,25.654
MD-V6-0000547,2025-12-26 02:00:26.588073+00,25.531
